Event	Latitude	Longitude	Country	State	County	Status	Cancellations	Website
Ardgillan parkrun	53.586088	-6.161152	Ireland	Leinster	Dublin	parkrunning	[]	https://www.parkrun.ie/ardgillan
Arklow Duck Pond junior parkrun	52.801015	-6.142088	Ireland	Leinster	Wicklow	junior parkrunning	[]	https://www.parkrun.ie/arklowduckpond-juniors
Armagh parkrun	54.339812	-6.652951	United Kingdom	Northern Ireland	Armagh	parkrunning	[]	https://www.parkrun.org.uk/armagh
Armidale parkrun	-30.491998	151.639419	Australia	New South Wales	Armidale Regional	parkrunning	[]	https://www.parkrun.com.au/armidale
Armley parkrun	53.800347	-1.590893	United Kingdom	England	Leeds	parkrunning	[]	https://www.parkrun.org.uk/armley
Arrow Valley parkrun	52.29362	-1.906573	United Kingdom	England	Worcestershire	parkrunning	[]	https://www.parkrun.org.uk/arrowvalley
Ashbourne Recreation Ground parkrun	53.018719	-1.727477	United Kingdom	England	Derbyshire	parkrunning	[]	https://www.parkrun.org.uk/ashbournerecreationground
Ashburton parkrun	-29.641673	30.468107	South Africa	KwaZulu-Natal	uMgungundlovu District Municipality	parkrunning	[]	https://www.parkrun.co.za/ashburton
Ashford junior parkrun	51.144975	0.86233	United Kingdom	England	Kent	junior parkrunning	[]	https://www.parkrun.org.uk/ashford-juniors
Ashford parkrun	51.14347	0.864218	United Kingdom	England	Kent	parkrunning	[]	https://www.parkrun.org.uk/ashford
Ashgrove parkrun	-27.442334	152.972975	Australia	Queensland	Brisbane	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Grounds will be too wet for the event to be held.'}]	https://www.parkrun.com.au/ashgrove
Ashlyns junior parkrun	51.752028	-0.56325	United Kingdom	England	Hertfordshire	junior parkrunning	[]	https://www.parkrun.org.uk/ashlyns-juniors
Ashton Court parkrun	51.443592	-2.639948	United Kingdom	England	North Somerset	parkrunning	[]	https://www.parkrun.org.uk/ashtoncourt
Aspen parkrun	39.187266	-106.852397	USA	Colorado	Pitkin	parkrunning	[]	https://www.parkrun.us/aspen
Atherton parkrun	-17.275414	145.471686	Australia	Queensland	Tablelands	parkrunning	[]	https://www.parkrun.com.au/atherton
Athlone parkrun	53.419271	-7.904069	Ireland	Leinster	Westmeath	parkrunning	[]	https://www.parkrun.ie/athlone
Atholl parkrun	-26.128736	28.065948	South Africa	Gauteng	City of Johannesburg Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/atholl
Atlasville parkrun	-26.160156	28.285877	South Africa	Gauteng	Ekurhuleni Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/atlasville
Aurora parkrun	-37.622365	145.00465	Australia	Victoria	Whittlesea	parkrunning	[]	https://www.parkrun.com.au/aurora
Aveley parkrun	-31.789954	115.988052	Australia	Western Australia	Swan	parkrunning	[]	https://www.parkrun.com.au/aveley
Avenham Park junior parkrun	53.753281	-2.699084	United Kingdom	England	Lancashire	junior parkrunning	[]	https://www.parkrun.org.uk/avenhampark-juniors
Avery Beach parkrun, Huntsville	45.321961	-79.232377	Canada	Ontario	District Municipality of Muskoka	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Restarting May 21.'}]	https://www.parkrun.ca/averybeach
Aviemore parkrun	57.205275	-3.818635	United Kingdom	Scotland	Highland	parkrunning	[]	https://www.parkrun.org.uk/aviemore
Avondale Forest parkrun	52.908152	-6.225626	Ireland	Leinster	Wicklow	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Site closure due to construction'}]	https://www.parkrun.ie/avondaleforest
Avondale University College parkrun	-33.088354	151.463247	Australia	New South Wales	Lake Macquarie Shire	parkrunning	[]	https://www.parkrun.com.au/avondaleuniversitycollege
Aylesbury junior parkrun	51.829601	-0.829935	United Kingdom	England	Buckinghamshire	junior parkrunning	[]	https://www.parkrun.org.uk/aylesbury-juniors
Aylesbury parkrun	51.83162	-0.838394	United Kingdom	England	Buckinghamshire	parkrunning	[]	https://www.parkrun.org.uk/aylesbury
Aylestone junior parkrun	52.609737	-1.134248	United Kingdom	England	Leicester	junior parkrunning	[]	https://www.parkrun.org.uk/aylestone-juniors
Ayr parkrun	55.436189	-4.624316	United Kingdom	Scotland	South Ayrshire	parkrunning	[]	https://www.parkrun.org.uk/ayr
Babbs Mill parkrun	52.489833	-1.746034	United Kingdom	England	Solihull	parkrunning	[]	https://www.parkrun.org.uk/babbsmill
Bailey junior parkrun	51.826629	-3.016796	United Kingdom	Wales	Monmouthshire	junior parkrunning	[]	https://www.parkrun.org.uk/bailey-juniors
Bairnsdale parkrun	-37.823487	147.632774	Australia	Victoria	East Gippsland	parkrunning	[]	https://www.parkrun.com.au/bairnsdale
Balbriggan junior parkrun	53.616099	-6.187225	Ireland	Leinster	Dublin	junior parkrunning	[]	https://www.parkrun.ie/balbriggan-juniors
Balclutha parkrun	-46.238883	169.731177	New Zealand	Otago	Clutha District	parkrunning	[]	https://www.parkrun.co.nz/balclutha
Ballarat parkrun	-37.556649	143.820637	Australia	Victoria	City of Ballarat	parkrunning	[]	https://www.parkrun.com.au/ballarat
Ballina Coast parkrun	-28.869637	153.576356	Australia	New South Wales	Ballina	parkrunning	[]	https://www.parkrun.com.au/ballinacoast
Ballina parkrun	54.120048	-9.146141	Ireland	Connaught	Mayo	parkrunning	[]	https://www.parkrun.ie/ballina
Ballincollig Regional junior parkrun	51.891195	-8.615084	Ireland	Munster	Cork	junior parkrunning	[]	https://www.parkrun.ie/ballincolligregional-juniors
Ballincollig parkrun	51.891833	-8.605349	Ireland	Munster	Cork	parkrunning	[]	https://www.parkrun.ie/ballincollig
Ballito parkrun	-29.492418	31.18044	South Africa	KwaZulu-Natal	iLembe District Municipality	parkrunning	[]	https://www.parkrun.co.za/ballito
Baltimore and Annapolis Trail parkrun	39.121671	-76.5901	USA	Maryland	Anne Arundel	parkrunning	[]	https://www.parkrun.us/baltimoreandannapolistrail
Balyang Sanctuary parkrun	-38.166457	144.331179	Australia	Victoria	Greater Geelong	parkrunning	[]	https://www.parkrun.com.au/balyangsanctuary
Banbury parkrun	52.068807	-1.332318	United Kingdom	England	Oxfordshire	parkrunning	[]	https://www.parkrun.org.uk/banbury
Bangor junior parkrun	54.650612	-5.709153	United Kingdom	Northern Ireland	Down	junior parkrunning	[]	https://www.parkrun.org.uk/bangor-juniors
Bangor parkrun, Northern Ireland	54.660024	-5.661693	United Kingdom	Northern Ireland	Down	parkrunning	[]	https://www.parkrun.org.uk/bangor
Bankton Mains Park junior parkrun	55.87326	-3.511448	United Kingdom	Scotland	West Lothian	junior parkrunning	[]	https://www.parkrun.org.uk/banktonmainspark-juniors
Bannockburn Bush parkrun	-38.063066	144.142907	Australia	Victoria	Golden Plains	parkrunning	[]	https://www.parkrun.com.au/bannockburnbush
Banstead Woods parkrun	51.307648	-0.184225	United Kingdom	England	Surrey	parkrunning	[]	https://www.parkrun.org.uk/banstead
Bapsfontein Hotel parkrun	-26.004296	28.425336	South Africa	Gauteng	Ekurhuleni Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/bapsfonteinhotel
Barberton parkrun	-25.76011	31.049736	South Africa	Mpumalanga	Ehlanzeni District	parkrunning	[]	https://www.parkrun.co.za/barberton
Barclay parkrun	51.759056	-0.019442	United Kingdom	England	Hertfordshire	parkrunning	[]	https://www.parkrun.org.uk/barclay
Bargara parkrun	-24.806914	152.456905	Australia	Queensland	Bundaberg	parkrunning	[]	https://www.parkrun.com.au/bargara
Baringa parkrun	-26.806829	153.080945	Australia	Queensland	Sunshine Coast	parkrunning	[]	https://www.parkrun.com.au/baringa
Barking and Dagenham junior parkrun	51.544937	0.125871	United Kingdom	England	Greater London	junior Cancellation	[{'DateCancelled': '2022-05-15', 'ReasonCancelled': 'Insufficient volunteers to cover event safely'}]	https://www.parkrun.org.uk/barkinganddagenham-juniors
Barking parkrun	51.545894	0.087312	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/barking
Barnsley junior parkrun	53.54438	-1.48617	United Kingdom	England	Barnsley	junior parkrunning	[]	https://www.parkrun.org.uk/barnsley-juniors
Barnsley parkrun	53.544369	-1.486115	United Kingdom	England	Barnsley	parkrunning	[]	https://www.parkrun.org.uk/barnsley
Barnstaple junior parkrun	51.071801	-4.053904	United Kingdom	England	Devon	junior parkrunning	[]	https://www.parkrun.org.uk/barnstaple-juniors
Barnstaple parkrun	51.072561	-4.053612	United Kingdom	England	Devon	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Rowlands Fair taking place in the park'}]	https://www.parkrun.org.uk/barnstaple
Barrow junior parkrun	54.116526	-3.218758	United Kingdom	England	Cumbria	junior parkrunning	[]	https://www.parkrun.org.uk/barrow-juniors
Barrow parkrun	54.117706	-3.218855	United Kingdom	England	Cumbria	parkrunning	[]	https://www.parkrun.org.uk/barrow
Barry Curtis parkrun	-36.9597	174.914382	New Zealand	Auckland	Auckland	parkrunning	[]	https://www.parkrun.co.nz/barrycurtis
Barry Island parkrun	51.390202	-3.271371	United Kingdom	Wales	Vale of Glamorgan	parkrunning	[]	https://www.parkrun.org.uk/barryisland
Barry junior parkrun	51.393485	-3.291377	United Kingdom	Wales	Vale of Glamorgan	junior parkrunning	[]	https://www.parkrun.org.uk/barry-juniors
Barshaw junior parkrun	55.84851	-4.394725	United Kingdom	Scotland	Renfrewshire	junior parkrunning	[]	https://www.parkrun.org.uk/barshaw-juniors
Bartley Park parkrun	50.914371	-1.509865	United Kingdom	England	Hampshire	parkrunning	[]	https://www.parkrun.org.uk/bartleypark
Barton Trail parkrun	44.118501	-79.113992	Canada	Ontario	Durham	parkrunning	[]	https://www.parkrun.ca/bartontrail
Basildon parkrun	51.577778	0.499615	United Kingdom	England	Essex	parkrunning	[]	https://www.parkrun.org.uk/basildon
Basingstoke junior parkrun	51.252197	-1.128675	United Kingdom	England	Hampshire	junior parkrunning	[]	https://www.parkrun.org.uk/basingstoke-juniors
Basingstoke parkrun	51.258831	-1.082035	United Kingdom	England	Hampshire	parkrunning	[]	https://www.parkrun.org.uk/basingstoke
Batemans Bay parkrun	-35.712112	150.185995	Australia	New South Wales	Eurobodalla	parkrunning	[]	https://www.parkrun.com.au/batemansbay
Bath Odd Down junior parkrun	51.363164	-2.376181	United Kingdom	England	Bath and North East Somerset	junior parkrunning	[]	https://www.parkrun.org.uk/bathodddown-juniors
Bath Skyline parkrun	51.364717	-2.338425	United Kingdom	England	Bath and North East Somerset	parkrunning	[]	https://www.parkrun.org.uk/bathskyline
Bathurst parkrun	-33.414176	149.586917	Australia	New South Wales	Bathurst Regional	parkrunning	[]	https://www.parkrun.com.au/bathurst
Battery Park junior parkrun	55.961198	-4.800003	United Kingdom	Scotland	Inverclyde	junior parkrunning	[]	https://www.parkrun.org.uk/batterypark-juniors
Baxter Park junior parkrun	56.471942	-2.951194	United Kingdom	Scotland	Dundee City	junior parkrunning	[]	https://www.parkrun.org.uk/baxterpark-juniors
Bayview Road parkrun	-20.729535	116.806181	Australia	Western Australia	Karratha	parkrunning	[]	https://www.parkrun.com.au/bayviewroad
Beach Strip parkrun	43.259467	-79.76563	Canada	Ontario	Hamilton	parkrunning	[]	https://www.parkrun.ca/beachstrip
Beacon parkrun	52.685891	-1.83863	United Kingdom	England	Staffordshire	parkrunning	[]	https://www.parkrun.org.uk/beacon
Bear Creek Greenbelt parkrun	32.927592	-97.230411	USA	Texas	Tarrant	parkrunning	[]	https://www.parkrun.us/bearcreekgreenbelt
Beaumont Park junior parkrun	53.622934	-1.811237	United Kingdom	England	Kirklees	junior parkrunning	[]	https://www.parkrun.org.uk/beaumontpark-juniors
Beckenham Place junior parkrun	51.41912	-0.017074	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/beckenhamplace-juniors
Beckenham Place parkrun	51.41853	-0.01959	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/beckenhamplace
Beckton parkrun	51.51176	0.046542	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/beckton
Bedfont Lakes parkrun	51.440762	-0.451523	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/bedfont
Bedford junior parkrun	52.124298	-0.449781	United Kingdom	England	Bedford	junior parkrunning	[]	https://www.parkrun.org.uk/bedford-juniors
Bedford parkrun	52.148125	-0.459366	United Kingdom	England	Bedford	parkrunning	[]	https://www.parkrun.org.uk/bedford
Bedgebury Pinetum parkrun	51.071871	0.450168	United Kingdom	England	Kent	parkrunning	[]	https://www.parkrun.org.uk/bedgeburypinetum
Bedworth parkrun	52.476054	-1.47027	United Kingdom	England	Warwickshire	parkrunning	[]	https://www.parkrun.org.uk/bedworth
Beechpark junior parkrun	53.381645	-6.424837	Ireland	Leinster	Dublin	junior parkrunning	[]	https://www.parkrun.ie/beechpark-juniors
Beehive junior parkrun	51.788927	-0.189677	United Kingdom	England	Hertfordshire	junior parkrunning	[]	https://www.parkrun.org.uk/beehive-juniors
Beeston parkrun	52.913592	-1.201737	United Kingdom	England	Nottinghamshire	parkrunning	[]	https://www.parkrun.org.uk/beeston
Bega parkrun	-36.668409	149.852269	Australia	New South Wales	Bega Valley	parkrunning	[]	https://www.parkrun.com.au/bega
Belfast Victoria junior parkrun	54.609998	-5.870456	United Kingdom	Northern Ireland	Belfast	junior parkrunning	[]	https://www.parkrun.org.uk/belfastvictoria-juniors
Belfast Victoria parkrun	54.608785	-5.881573	United Kingdom	Northern Ireland	Belfast	parkrunning	[]	https://www.parkrun.org.uk/belfastvictoria
Bellerive parkrun	-42.878181	147.37175	Australia	Tasmania	Clarence	parkrunning	[]	https://www.parkrun.com.au/bellerive
Bellevue Park junior parkrun	-27.994529	153.396886	Australia	Queensland	Gold Coast	junior parkrunning	[]	https://www.parkrun.com.au/bellevuepark-juniors
Bellevue parkrun	46.500362	-84.298049	Canada	Ontario	Algoma	parkrunning	[]	https://www.parkrun.ca/bellevue
Bellville parkrun	-33.890643	18.629274	South Africa	Western Cape	City of Cape Town	parkrunning	[]	https://www.parkrun.co.za/bellville
Belton House parkrun	52.942743	-0.620021	United Kingdom	England	Lincolnshire	parkrunning	[]	https://www.parkrun.org.uk/beltonhouse
Belvoir Castle parkrun	52.894882	-0.786835	United Kingdom	England	Leicestershire	parkrunning	[]	https://www.parkrun.org.uk/belvoircastle
Benalla Botanical Gardens parkrun	-36.553856	145.977439	Australia	Victoria	Benalla	parkrunning	[]	https://www.parkrun.com.au/benallabotanicalgardens
Bendigo Botanic Gardens parkrun	-36.725618	144.305636	Australia	Victoria	Greater Bendigo	parkrunning	[]	https://www.parkrun.com.au/bendigobotanicgardens
Bere Island parkrun	51.632369	-9.81755	Ireland	Munster	Cork	parkrunning	[]	https://www.parkrun.ie/bereisland
Berkeley Green parkrun	51.690962	-2.497513	United Kingdom	England	Gloucestershire	parkrunning	[]	https://www.parkrun.org.uk/berkeleygreen
Berrinba parkrun	-27.665606	153.077193	Australia	Queensland	Logan	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Paths flooded due to rain'}]	https://www.parkrun.com.au/berrinba
Berwick Springs parkrun	-38.062069	145.322932	Australia	Victoria	Casey	parkrunning	[]	https://www.parkrun.com.au/berwicksprings
Berwick Waters parkrun	-38.078218	145.342965	Australia	Victoria	Casey	parkrunning	[]	https://www.parkrun.com.au/berwickwaters
Bestwood Village parkrun	53.022132	-1.171188	United Kingdom	England	Nottinghamshire	parkrunning	[]	https://www.parkrun.org.uk/bestwoodvillage
Bethlehem parkrun	-28.251308	28.336215	South Africa	Orange Free State	Thabo Mofutsanyana District Municipality	parkrunning	[]	https://www.parkrun.co.za/bethlehem
Bethlem Royal Hospital parkrun	51.385332	-0.029969	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/bethlemroyalhospital
Betteshanger junior parkrun	51.236001	1.371111	United Kingdom	England	Kent	junior parkrunning	[]	https://www.parkrun.org.uk/betteshanger-juniors
Betty’s Bay parkrun	-34.351851	18.926615	South Africa	Western Cape	Overberg District Municipality	parkrunning	[]	https://www.parkrun.co.za/bettysbay
Bevendean Down parkrun	50.844709	-0.107027	United Kingdom	England	Brighton and Hove	parkrunning	[]	https://www.parkrun.org.uk/bevendeandown
Beverley Westwood parkrun	53.840255	-0.440675	United Kingdom	England	East Yorkshire	parkrunning	[]	https://www.parkrun.org.uk/beverleywestwood
Bexley parkrun	51.455132	0.113254	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/bexley
Bezuidenhout parkrun	-26.180165	28.089316	South Africa	Gauteng	City of Johannesburg Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/bezuidenhout
Bibra Lake parkrun	-32.093955	115.820636	Australia	Western Australia	City of Cockburn	parkrunning	[]	https://www.parkrun.com.au/bibralake
Bicester parkrun	51.891101	-1.146866	United Kingdom	England	Oxfordshire	parkrunning	[]	https://www.parkrun.org.uk/bicester
Bideford parkrun	51.024075	-4.204316	United Kingdom	England	Devon	parkrunning	[]	https://www.parkrun.org.uk/bideford
Big Bay parkrun	-33.792113	18.456388	South Africa	Western Cape	City of Cape Town	parkrunning	[]	https://www.parkrun.co.za/bigbay
Bill Rose Sports Complex parkrun	-32.054009	150.856114	Australia	New South Wales	Upper Hunter Shire	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Course is deemed too wet - Potential safety risk.'}]	https://www.parkrun.com.au/billrosesportscomplex
Bill Thorpe Walking Bridge parkrun	45.966319	-66.649023	Canada	New Brunswick	York County	parkrunning	[]	https://www.parkrun.ca/billthorpewalkingbridge
Billdalsparken parkrun	57.582383	11.943555	Sweden	Västra Götaland	Gothenburg Municipality	parkrunning	[]	https://www.parkrun.se/billdalsparken
Billericay parkrun	51.632966	0.417446	United Kingdom	England	Essex	parkrunning	[]	https://www.parkrun.org.uk/billericay
Billingham junior parkrun	54.610247	-1.289735	United Kingdom	England	Stockton-on-Tees	junior parkrunning	[]	https://www.parkrun.org.uk/billingham-juniors
Birdsland Reserve parkrun	-37.923408	145.335724	Australia	Victoria	Yarra Ranges	parkrunning	[]	https://www.parkrun.com.au/birdslandreserve
Birkenhead parkrun	53.394807	-3.051658	United Kingdom	England	Wirral	parkrunning	[]	https://www.parkrun.org.uk/birkenhead
Bishan parkrun	1.360729	103.850291	Singapore			parkrunning	[]	https://www.parkrun.sg/bishan
Black Park parkrun	51.540329	-0.5476	United Kingdom	England	Buckinghamshire	parkrunning	[]	https://www.parkrun.org.uk/blackpark
Blackbutt parkrun	-32.932526	151.699755	Australia	New South Wales	Newcastle	parkrunning	[]	https://www.parkrun.com.au/blackbutt
Blackhill parkrun	54.858315	-1.842366	United Kingdom	England	Durham	parkrunning	[]	https://www.parkrun.org.uk/blackhill
Blackpool parkrun	53.811727	-3.023114	United Kingdom	England	Blackpool	parkrunning	[]	https://www.parkrun.org.uk/blackpool
Blandford parkrun	50.863122	-2.16627	United Kingdom	England	Dorset	parkrunning	[]	https://www.parkrun.org.uk/blandford
Blenheim parkrun	-41.511842	173.95879	New Zealand	Marlborough	Marlborough District	parkrunning	[]	https://www.parkrun.co.nz/blenheim
Blickling junior parkrun	52.810825	1.22367	United Kingdom	England	Norfolk	junior parkrunning	[]	https://www.parkrun.org.uk/blickling-juniors
Blickling parkrun	52.813653	1.221671	United Kingdom	England	Norfolk	parkrunning	[]	https://www.parkrun.org.uk/blickling
Bloxwich junior parkrun	52.625246	-2.006525	United Kingdom	England	Walsall	junior parkrunning	[]	https://www.parkrun.org.uk/bloxwich-juniors
Blue Gum Hills parkrun	-32.884131	151.620206	Australia	New South Wales	Newcastle	parkrunning	[]	https://www.parkrun.com.au/bluegumhills
Blue Lagoon parkrun	-29.811223	31.03348	South Africa	KwaZulu-Natal	eThekwini Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/bluelagoon
Blyth Links parkrun	55.106922	-1.499456	United Kingdom	England	Northumberland	parkrunning	[]	https://www.parkrun.org.uk/blythlinks
Bodington junior parkrun	53.841537	-1.590275	United Kingdom	England	Leeds	junior parkrunning	[]	https://www.parkrun.org.uk/bodington-juniors
Bodmin junior parkrun	50.474313	-4.73101	United Kingdom	England	Cornwall	junior parkrunning	[]	https://www.parkrun.org.uk/bodmin-juniors
Bognor Regis junior parkrun	50.792765	-0.693819	United Kingdom	England	West Sussex	junior Cancellation	[{'DateCancelled': '2022-05-15', 'ReasonCancelled': 'event on the field'}]	https://www.parkrun.org.uk/bognorregis-juniors
Bognor Regis parkrun	50.786913	-0.668305	United Kingdom	England	West Sussex	parkrunning	[]	https://www.parkrun.org.uk/bognorregis
