id,eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,Latitude,Longitude
90,keswick-juniors,Keswick junior parkrun,Keswick juniors,Keswick junior parkrun,97,2,Upper Fitz Park,54.602628,-3.135084
91,southsea,Southsea parkrun,Southsea,,97,1,Southsea Esplanade,50.778853,-1.081316
92,themeadows-juniors,The Meadows junior parkrun,The Meadows juniors,The Meadows junior parkrun,97,2,The Meadows,55.940327,-3.184283
93,bedford-juniors,Bedford junior parkrun,Bedford juniors,Bedford junior parkrun,97,2,Jubilee Park,52.124298,-0.449781
94,queensparklondon-juniors,"Queen’s Park junior parkrun, London","Queen’s Park juniors, London",Queen’s Park London junior parkrun,97,2,Queen’s Park,51.534733,-0.21127
95,stalbans,St Albans parkrun,St Albans,,97,1,"Verulam Park, St Albans",51.75193,-0.355371
96,york,York parkrun,York,,97,1,York Racecourse,53.935375,-1.101379
97,havant,Havant parkrun,Havant,,97,1,Staunton Country Park,50.875771,-0.975565
98,rugby,Rugby parkrun,Rugby,,97,1,Whinfield Recreation Ground,52.37318,-1.238464
99,beckenhamplace,Beckenham Place parkrun,Beckenham Place,,97,1,Beckenham Place Park,51.41853,-0.01959
100,whiteley,Whiteley parkrun,Whiteley,,97,1,Whiteley Meadowside,50.885632,-1.247926
101,norwich,Norwich parkrun,Norwich,,97,1,"Eaton Park, Norwich",52.620422,1.255682
102,torbayvelopark,Torbay Velopark parkrun,Torbay Velopark,,97,1,Torbay Velopark,50.423441,-3.564297
103,ashford,Ashford parkrun,Ashford,,97,1,Victoria Park,51.14347,0.864218
104,braunstone,Braunstone parkrun,Braunstone,,97,1,"Braunstone, Leicester",52.626129,-1.178681
105,skelmersdale-juniors,Skelmersdale junior parkrun,Skelmersdale juniors,Skelmersdale junior parkrun,97,2,The Amphitheatre,53.550389,-2.776333
106,oldham,Oldham parkrun,Oldham,,97,1,"Alexandra Park, Oldham",53.534187,-2.104118
107,rodingvalley,Roding Valley parkrun,Roding Valley,,97,1,Roding Valley Recreation Ground,51.638607,0.066415
108,bedford,Bedford parkrun,Bedford,,97,1,"Bedford Park, Bedford",52.148125,-0.459366
109,millom,Millom parkrun,Millom,,97,1,Millom Network Centre,54.21399,-3.26996
110,llanellicoast,Llanelli Coast parkrun,Llanelli Coast,,97,1,King George V Playing Fields,51.68508,-4.206204
111,dudley,Dudley parkrun,Dudley,,97,1,The Dell Stadium,52.490027,-2.134568
112,bestwoodvillage,Bestwood Village parkrun,Bestwood Village,,97,1,Bestwood Country Park,53.022132,-1.171188
113,miltonkeynes,Milton Keynes parkrun,Milton Keynes,,97,1,"Willen Lake, Milton Keynes",52.05011,-0.722984
114,hyde,Hyde parkrun,Hyde,,97,1,Hyde Park,53.45713,-2.076554
115,bognorregis-juniors,Bognor Regis junior parkrun,Bognor Regis juniors,Bognor Regis junior parkrun,97,2,Arena Sports Centre,50.792765,-0.693819
116,phoenix,Phoenix parkrun,Phoenix,,97,1,Phoenix Park,53.337865,-2.681623
117,wycomberye-juniors,Wycombe Rye junior parkrun,Wycombe Rye juniors,Wycombe Rye junior parkrun,97,2,Wycombe Rye,51.626131,-0.742427
118,knowsley,Knowsley parkrun,Knowsley,,97,1,Stadt Moers Park,53.411116,-2.811654
119,shrewsbury-juniors,Shrewsbury junior parkrun,Shrewsbury juniors,Shrewsbury junior parkrun,97,2,Quarry Park,52.704425,-2.750059
120,newtown,Newtown parkrun,Newtown,,97,1,Dolerw Park Bridge,52.514658,-3.319012
121,bathskyline,Bath Skyline parkrun,Bath Skyline,,97,1,Bath,51.364717,-2.338425
122,moorsvalley,Moors Valley parkrun,Moors Valley,,97,1,Moors Valley Country Park and Forest,50.85124,-1.849419
123,bathodddown-juniors,Bath Odd Down junior parkrun,Bath Odd Down juniors,Bath Odd Down junior parkrun,97,2,Odd Down Sports Ground,51.363164,-2.376181
124,shipleycountry,Shipley Country parkrun,Shipley Country,,97,1,Shipley Country Park,53.008339,-1.359978
125,rickmansworth,Rickmansworth parkrun,Rickmansworth,,97,1,Rickmansworth Aquadrome,51.633087,-0.47589
126,highburyfields,Highbury Fields parkrun,Highbury Fields,,97,1,"Highbury Fields, Highbury",51.546959,-0.102884
127,halifax,Halifax parkrun,Halifax,,97,1,Shroggs Park,53.731746,-1.873871
128,cambridge,Cambridge parkrun,Cambridge,,97,1,"Milton Country Park, Cambridge",52.236675,0.161906
129,eastville-juniors,Eastville junior parkrun,Eastville juniors,Eastville junior parkrun,97,2,Eastville Park,51.476132,-2.554961
131,bradford,Bradford parkrun,Bradford,,97,1,"Lister Park, Bradford",53.814575,-1.775102
132,canterbury,Canterbury parkrun,Canterbury,,97,1,The Pavillion,51.299468,1.057002
133,nonsuch,Nonsuch parkrun,Nonsuch,,97,1,"Nonsuch Park, Cheam",51.356926,-0.231078
134,andover-juniors,Andover junior parkrun,Andover juniors,Andover junior parkrun,97,2,Charlton Sports Fields,51.220901,-1.504812
135,osterley-juniors,Osterley junior parkrun,Osterley juniors,Osterley junior parkrun,97,2,Osterley Park,51.489405,-0.350722
136,gnoll-juniors,Gnoll junior parkrun,Gnoll juniors,Gnoll junior parkrun,97,2,Gnoll Estate Country Park,51.662428,-3.787224
137,sthelens,St Helens parkrun,St Helens,,97,1,Victoria Park,53.46322,-2.744088
138,royaltunbridgewells,Royal Tunbridge Wells parkrun,Royal Tunbridge Wells,,97,1,Dunorlan Park,51.133614,0.284851
140,sheptonmallet,Shepton Mallet parkrun,Shepton Mallet,,97,1,Collett Park,51.187513,-2.542461
141,widnes-juniors,Widnes junior parkrun,Widnes juniors,Widnes junior parkrun,97,2,Victoria Park,53.37434,-2.730313
142,laleham-juniors,Laleham junior parkrun,Laleham juniors,Laleham junior parkrun,97,2,Thames Side,51.399461,-0.488839
143,eastleigh,Eastleigh parkrun,Eastleigh,,97,1,"Fleming Park Old Golf Course, Eastleigh",50.971433,-1.374032
144,hemlingtonlake-juniors,Hemlington Lake junior parkrun,Hemlington Lake juniors,Hemlington Lake junior parkrun,97,2,Hemlington Lake,54.526005,-1.244316
145,bramley-juniors,Bramley junior parkrun,Bramley juniors,Bramley junior parkrun,97,2,Bramley Park,53.81364,-1.634046
146,nibe,Nibe parkrun,Nibe,,23,1,"Nibe, Denmark",56.987144,9.654837
147,burnley-juniors,Burnley junior parkrun,Burnley juniors,Burnley junior parkrun,97,2,Towneley Park,53.777385,-2.219036
148,boston,Boston parkrun,Boston,,97,1,Witham Way Country Park,52.990156,-0.038556
149,lincoln,Lincoln parkrun,Lincoln,,97,1,Boultham Park,53.208848,-0.560904
150,bloxwich-juniors,Bloxwich junior parkrun,Bloxwich juniors,Bloxwich junior parkrun,97,2,King George V Memorial Playing Fields,52.625246,-2.006525
151,pontefract,Pontefract parkrun,Pontefract,,97,1,Pontefract Racecourse,53.697922,-1.325197
152,brighouse,Brighouse parkrun,Brighouse,,97,1,Wellholme Park,53.706086,-1.778156
153,rosliston,Rosliston parkrun,Rosliston,,97,1,Rosliston Forestry Centre,52.754526,-1.639681
154,crystalpalace,Crystal Palace parkrun,Crystal Palace,,97,1,Crystal Palace Park,51.419846,-0.065703
155,carlisle,Carlisle parkrun,Carlisle,,97,1,Chances Park,54.886025,-2.963455
156,whitleybay,Whitley Bay parkrun,Whitley Bay,,97,1,Whitley Bay Links Common,55.048875,-1.448736
158,aviemore,Aviemore parkrun,Aviemore,,97,1,Aviemore,57.205275,-3.818635
159,strathclyde,Strathclyde parkrun,Strathclyde,,97,1,Strathclyde Country Park,55.789631,-4.031425
160,camperdown,"Camperdown parkrun, Dundee",Camperdown,,97,1,Camperdown Country Park,56.483681,-3.030896
161,minehead,Minehead parkrun,Minehead,,97,1,Minehead,51.207524,-3.469591
162,faelledparken,Fælledparken parkrun,Fælledparken,,23,1,"Fælledparken på Østerbro, København",55.701775,12.568917
163,clitheroecastle-juniors,Clitheroe Castle junior parkrun,Clitheroe Castle juniors,Clitheroe Castle junior parkrun,97,2,Clitheroe Castle Gardens,53.870606,-2.394122
164,arrowvalley,Arrow Valley parkrun,Arrow Valley,,97,1,Arrow Valley Country Park,52.307848,-1.910333
