id,eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,Latitude,Longitude
1492,cwmbran,Cwmbran parkrun,Cwmbran,,97,1,Northfields Recreation Ground,51.656234,-3.013498
1493,winchester-juniors,Winchester junior parkrun,Winchester juniors,Winchester junior parkrun,97,2,North Walls Recreation Ground,51.069724,-1.310091
1494,victorialake,Victoria Lake parkrun,Victoria Lake,,85,1,Germiston Lake,-26.233615,28.163202
1496,strathalbyn,Strathalbyn parkrun,Strathalbyn,,3,1,Rotary Park,-35.258681,138.89303
1497,renmark,Renmark parkrun,Renmark,,3,1,Renmark Riverfront,-34.17425,140.751235
1499,marecchia,Marecchia parkrun,Marecchia,,44,1,Marecchia,44.063117,12.562389
1500,prestwickoval-juniors,Prestwick Oval junior parkrun,Prestwick Oval juniors,Prestwick Oval junior parkrun,97,2,"Prestwick Oval, St Ninian’s Park",55.493409,-4.612539
1501,redcar-juniors,Redcar junior parkrun,Redcar juniors,Redcar junior parkrun,97,2,Locke Park,54.61403,-1.080751
1502,wagga,Wagga parkrun,Wagga,,3,1,Apex Park,-35.170935,147.378216
1503,meadowbrook,Meadowbrook parkrun,Meadowbrook,,3,1,Riverdale Park,-27.673493,153.155785
1504,ladybrand,Ladybrand parkrun,Ladybrand,,85,1,Ladybrand Golf Club,-29.205216,27.457504
1505,blenheim,Blenheim parkrun,Blenheim,,65,1,Blenheim,-41.511842,173.95879
1506,rivervalley,River Valley parkrun,River Valley,,42,1,River Valley Park,53.454443,-6.243532
1507,oranmore,Oranmore parkrun,Oranmore,,42,1,Renville Park,53.246377,-8.959767
1508,wauchope,Wauchope parkrun,Wauchope,,3,1,Rocks Ferry Reserve,-31.452159,152.744034
1509,salewater,Sale Water parkrun,Sale Water,,97,1,Sale Water Park,53.429585,-2.294545
1510,gdanskpoludnie,parkrun Gdańsk-Południe,Gdańsk Południe,parkrun Gdańsk Południe,74,1,"Zbiorniki Retencyjne Świętokrzyska, Gdańsk",54.316715,18.576999
1512,weipa,Weipa parkrun,Weipa,,3,1,Weipa,-12.64068,141.865454
1513,youyangs,You Yangs parkrun,You Yangs,,3,1,You Yangs Regional Park,-37.953582,144.40047
1514,christiesbeach,Christies Beach parkrun,Christies Beach,,3,1,Christies Beach,-35.135628,138.46916
1515,jablonna,parkrun Jabłonna,Jabłonna,parkrun Jabłonna,74,1,"Park Pałacowy, Jabłonna",52.37452,20.914566
1516,somersetwest,Somerset West parkrun,Somerset West,,85,1,Daisy Country Lodge,-34.12695,18.888116
1517,nosehill,Nose Hill parkrun,Nose Hill,,14,1,Nose Hill Park,51.12534,-114.129961
1518,chelseabicentennial,Chelsea Bicentennial parkrun,Chelsea Bicentennial,,3,1,Chelsea Bicentennial Park,-38.049247,145.12656
1519,wilsonbotanic,Wilson Botanic parkrun,Wilson Botanic,,3,1,Wilson Botanic Park,-38.026521,145.339808
1520,okanagan,Okanagan parkrun,Okanagan,,14,1,Parkinson Rec Park,49.883293,-119.456654
1521,midstream,Midstream parkrun,Midstream,,85,1,Midstream,-25.919924,28.205604
1522,portalfred,Port Alfred parkrun,Port Alfred,,85,1,Port Alfred,-33.592558,26.887713
1523,moree,Moree parkrun,Moree,,3,1,Moree,-29.46707,149.843183
1524,palmerston,Palmerston parkrun,Palmerston,,3,1,Palmerston Water Park,-12.475829,130.982607
1526,milanonord,Milano Nord parkrun,Milano Nord,,44,1,Milano Nord,45.53007,9.211192
1527,haga,Haga parkrun,Haga,,88,1,Hagaparken,59.354555,18.039292
1529,orange,Orange parkrun,Orange,,3,1,Gosling Creek Reserve,-33.325825,149.089749
1530,shelley,Shelley parkrun,Shelley,,3,1,Shelley Foreshore,-32.028968,115.881886
1531,galston,Galston parkrun,Galston,,3,1,Fagan Park,-33.642734,151.043648
1532,breedevalley,Breede Valley parkrun,Breede Valley,,85,1,Worcester,-33.631633,19.436541
1533,umdoni,Umdoni parkrun,Umdoni,,85,1,Umdoni Park Environmental Centre,-30.392475,30.682193
1534,elk,parkrun Ełk,Ełk,parkrun Ełk,74,1,"Promenada na Jeziorem Ełckim, Ełk",53.815245,22.354226
1535,montsouris,parkrun de Montsouris,Montsouris,,31,1,Montsouris,48.821115,2.3408
1536,zandvlei,Zandvlei parkrun,Zandvlei,,85,1,Zandvlei Sports Club,-34.091864,18.467067
1537,richmondolympic,Richmond Olympic parkrun,Richmond Olympic,,14,1,Richmond,49.184871,-123.138582
1539,favorita,Favorita parkrun,Favorita,,44,1,Favorita,38.159773,13.339815
1540,willoughby,Willoughby parkrun,Willoughby,,3,1,Artarmon Reserve,-33.811705,151.193171
1541,karkarook,Karkarook parkrun,Karkarook,,3,1,Karkarook Park,-37.940079,145.086858
1542,tulacentral,parkrun Tula Central,Tula Central,parkrun Тула Центральный парк,79,1,Tula Central,54.179967,37.588089
1543,winterton,Winterton parkrun,Winterton,,85,1,Winterton,-28.898131,29.541956
1544,nepeanriver,Nepean River parkrun,Nepean River,,3,1,Penrith,-33.760087,150.679885
1545,fontainebleau,parkrun de Fontainebleau,Fontainebleau,,31,1,Fontainebleau,48.403585,2.705253
1546,springs,Springs parkrun,Springs,,85,1,Presidents park,-26.216163,28.4134
1547,kamay,Kamay parkrun,Kamay,,3,1,Yarra Bay Beach,-33.97993,151.229992
1548,orebro,Örebro parkrun,Örebro,,88,1,Rynningeviken,59.278841,15.260544
1549,ladysmith,Ladysmith parkrun,Ladysmith,,85,1,Ladysmith,-28.546259,29.769942
1550,gorey,Gorey parkrun,Gorey,,42,1,Gorey Park & Showgrounds,52.683044,-6.296041
1582,forster,Forster parkrun,Forster,,3,1,Forster,-32.180174,152.519554
1584,tralee-juniors,Tralee junior parkrun,Tralee juniors,Tralee junior parkrun,42,2,Tralee Town Park,52.266633,-9.705158
1589,cambridgenz,Cambridge NZ parkrun,Cambridge NZ,,65,1,Avantidrome,-37.890281,175.435891
1594,swidwin,parkrun Świdwin,Świdwin,parkrun Świdwin,74,1,"Ścieżka przy ul. Połczyńskiej, Świdwin",53.775794,15.789109
1596,cohuna,Cohuna parkrun,Cohuna,,3,1,Cohuna,-35.809232,144.223054
1600,rootyhill,Rooty Hill parkrun,Rooty Hill,,3,1,Blacktown Football Park,-33.773998,150.85698
1601,tilgate-juniors,Tilgate junior parkrun,Tilgate juniors,Tilgate junior parkrun,97,2,Tilgate Park,51.095839,-0.175976
1602,merseaisland,Mersea Island parkrun,Mersea Island,,97,1,Cudmore Grove,51.79164,0.99368
1603,ladyslipper,Lady Slipper parkrun,Lady Slipper,,85,1,Falcon Rock,-33.900774,25.266563
1604,underwoodpark,Underwood Park parkrun,Underwood Park,,3,1,Underwood Park,-27.598691,153.147211
1605,westcoastpark,West Coast Park parkrun,West Coast Park,,82,1,West Coast Park Park,1.297454,103.762915
1606,portfairy,Port Fairy parkrun,Port Fairy,,3,1,Russell Clark Reserve,-38.389932,142.229977
1609,westbury,Westbury parkrun,Westbury,,85,1,Union Stadium,-26.178853,27.970904
1610,mitchellsplain,Mitchells Plain parkrun,Mitchells Plain,,85,1,Westridge Gardens,-34.043918,18.597581
1614,tannumsands,Tannum Sands parkrun,Tannum Sands,,3,1,Canoe Point Park,-23.93798,151.364976
1615,mullummullum,Mullum Mullum parkrun,Mullum Mullum,,3,1,"Schwerkolt Cottage, Mitcham",-37.811673,145.21251
1616,bridgetown,Bridgetown parkrun,Bridgetown,,85,1,Nantes Park,-33.960435,18.526226
1617,templemore,Templemore parkrun,Templemore,,42,1,Templemore Park,52.798741,-7.839498
1618,lithgow,Lithgow parkrun,Lithgow,,3,1,Lithgow Pony Club,-33.494173,150.151201
1619,saintpaulin,Saint-Paulin parkrun,Saint-Paulin,,14,1,Saint-Paulin,46.422567,-73.014185
1620,wondai,Wondai parkrun,Wondai,,3,1,Wondai,-26.318523,151.872411
1621,parkwood-juniors,Park Wood junior parkrun,Park Wood juniors,Park Wood junior parkrun,97,2,Park Wood,51.238375,0.554325
1622,kwamashu,KwaMashu parkrun,KwaMashu,,85,1,Princes Magogo Stadium,-29.744469,30.971091
1623,ventersburg,Ventersburg parkrun,Ventersburg,,85,1,Ventersburg,-28.083038,27.133236
1625,rzeszow,parkrun Rzeszów,Rzeszów,parkrun Rzeszów,74,1,"Bulwar nad Wisłokiem, Rzeszów",50.029829,22.004013
1626,dolgoprudny,parkrun Dolgoprudny,Dolgoprudny,parkrun Долгопрудный,79,1,Dolgoprudny,55.937526,37.486263
1627,blackpool,Blackpool parkrun,Blackpool,,97,1,Stanley Park,53.811727,-3.023114
1628,bray-juniors,Bray junior parkrun,Bray juniors,Bray junior parkrun,42,2,People’s park,53.204793,-6.114437
1629,russborough,Russborough parkrun,Russborough,,42,1,Russborough House & Parklands,53.141736,-6.56763
1630,bushydublin,"Bushy parkrun, Dublin","Bushy, Dublin",,42,1,Bushy Park,53.298951,-6.296455
1632,whiterock,White Rock parkrun,White Rock,,3,1,White Rock,-27.676652,152.849745
1633,newborough,Newborough parkrun,Newborough,,3,1,Moe Botanic Garden,-38.178663,146.270714
1634,khimki,parkrun Khimki,Khimki,parkrun Химки,79,1,Khimki,55.894059,37.458377
1636,darebin,Darebin parkrun,Darebin,,3,1,C T Barling Reserve,-37.721239,145.034293
1637,bundaberg,Bundaberg parkrun,Bundaberg,,3,1,Queens Park,-24.86835,152.330781
1639,parkview-juniors,Park View junior parkrun,Park View juniors,Park View junior parkrun,97,2,QEII Park View Playing Fields,53.741051,-2.960984
1640,sardiniabay,Sardinia Bay parkrun,Sardinia Bay,,85,1,Sardinia Bay,-34.012166,25.495691
1641,valhalla,Valhalla parkrun,Valhalla,,85,1,Valhalla,-25.807496,28.148419
1642,stannes-juniors,St Anne’s junior parkrun,St Anne’s juniors,St Anne’s junior parkrun,42,2,St Anne’s Park,53.370968,-6.172071
1643,claremorris,Claremorris parkrun,Claremorris,,42,1,McMahon Park,53.712598,-8.997864
1644,calleya,Calleya parkrun,Calleya,,3,1,Treeby,-32.126604,115.876176
1645,pavlovskyposad,parkrun Pavlovsky Posad,Pavlovsky Posad,parkrun Павловский Посад,79,1,Pavlovsky Posad,55.743417,38.680067
1646,tychy,parkrun Tychy,Tychy,parkrun Tychy,74,1,"Park Północny, Tychy",50.120545,19.001032
1647,treviso,Treviso parkrun,Treviso,,44,1,Treviso,45.694128,12.271947
1648,whitby,Whitby parkrun,Whitby,,14,1,"Waterfront Trail, Whitby Shores",43.851043,-78.940558
1649,ararat,Ararat parkrun,Ararat,,3,1,Alexandra Gardens,-37.279712,142.928756
1651,balbriggan-juniors,Balbriggan junior parkrun,Balbriggan juniors,Balbriggan junior parkrun,42,2,Bremore Castle Park,53.616099,-6.187225
1652,langenhoven,Langenhoven parkrun,Langenhoven,,85,1,Langenhovenpark,-29.098128,26.14159
1653,kroonstad,Kroonstad parkrun,Kroonstad,,85,1,Kroonstad,-27.621467,27.228431
1654,bronberrik,Bronberrik parkrun,Bronberrik,,85,1,Hennopspark,-25.853883,28.171663
1655,welkom,Welkom parkrun,Welkom,,85,1,St Dominic’s College Sports Fields,-27.973608,26.739236
1656,mbabane,Mbabane parkrun,Mbabane,,85,1,Mbabane Club,-26.318875,31.144017
1657,swakopmund,Swakopmund parkrun,Swakopmund,,85,1,Hennos park,-22.666375,14.528015
1658,heidedal,Heidedal parkrun,Heidedal,,85,1,Clive Solomon Stadium,-29.147255,26.261942
1659,tullow,Tullow parkrun,Tullow,,42,1,Rathwood Rath,52.794943,-6.660345
1660,georgetown,George Town parkrun,George Town,,3,1,Kanamaluka trail,-41.109186,146.821208
1662,castlerea,Castlerea parkrun,Castlerea,,42,1,The Demesne,53.767763,-8.480996
1663,echucamoama,Echuca Moama parkrun,Echuca Moama,,3,1,Lions Park,-36.139104,144.739213
1664,listowel,Listowel parkrun,Listowel,,42,1,Listowel Town Park,52.443179,-9.479681
1666,applecross,Applecross parkrun,Applecross,,3,1,Jeff Joseph Reserve,-32.006932,115.834885
1667,korolev,parkrun Korolev,Korolev,parkrun Королёв,79,1,Korolev,55.909138,37.838838
1669,lacdedivonne,parkrun du Lac de Divonne,Lac de Divonne,parkrun du Lac de Divonne,31,1,Lac de Divonne,46.352593,6.146281
1670,beachstrip,Beach Strip parkrun,Beach Strip,,14,1,Hamilton,43.259467,-79.76563
1671,whistler,Whistler parkrun,Whistler,,14,1,Lost Lake PassivHaus,50.120116,-122.947967
1672,clonmel,Clonmel parkrun,Clonmel,,42,1,Gas House Bridge,52.352179,-7.694956
1673,timboon,Timboon parkrun,Timboon,,3,1,Timboon,-38.483074,142.977527
1674,ballinacoast,Ballina Coast parkrun,Ballina Coast,,3,1,Ballina,-28.869637,153.576356
1675,mountbeauty,Mount Beauty parkrun,Mount Beauty,,3,1,Mount Beauty,-36.736278,147.174015
1677,kutno,parkrun Kutno,Kutno,parkrun Kutno,74,1,"Park Wiosny Ludów, Kutno",52.223814,19.349423
1678,fredericback,Frédéric Back parkrun,Frédéric Back,,14,1,Parc Frédéric-Back,45.558862,-73.620363
1679,redlandbay,Redland Bay parkrun,Redland Bay,,3,1,Sel Outridge Park,-27.614582,153.307539
1681,mansfieldqld,"Mansfield parkrun, Queensland",Mansfield QLD,,3,1,Tillack Park,-27.522987,153.101744
1682,ufabotanicheskysad,parkrun Ufa Botanichesky Sad,Ufa Botanichesky Sad,parkrun Уфа Ботанический Сад,79,1,Ufa Botanichesky Sad,54.730548,56.011319
1684,longford-juniors,Longford junior parkrun,Longford juniors,Longford junior parkrun,42,2,The Mall Park,53.732238,-7.79129
1686,bellevue,Bellevue parkrun,Bellevue,,14,1,Bellevue Park,46.500362,-84.298049
1687,dollspoint,Dolls Point parkrun,Dolls Point,,3,1,Peter Depena Reserve,-33.995775,151.144928
1688,heritageharbor,"Heritage Harbor parkrun, Ottawa",Heritage Harbor,,98,1,Heritage Harbor,41.341177,-88.785212
1689,grodziskmazowiecki,parkrun Grodzisk Mazowiecki,Grodzisk Mazowiecki,parkrun Grodzisk Mazowiecki,74,1,"Stawy Walczewskiego, Grodzisk Mazowiecki",52.101019,20.63864
1690,dzialdowo,parkrun Działdowo,Działdowo,parkrun Działdowo,74,1,"Las Miejski Malinowo, Działdowo",53.249253,20.238476
1691,huddinge,Huddinge parkrun,Huddinge,,88,1,Källbrinks IP,59.248612,17.950678
1692,lanseria,Lanseria parkrun,Lanseria,,85,1,Lanseria Country Estate,-25.914367,27.905529
1693,jeffreysbay,Jeffreys Bay parkrun,Jeffreys Bay,,85,1,Global Leadership Academy,-34.035359,24.893197
1694,mountlucas,Mountlucas parkrun,Mountlucas,,42,1,Mount Lucas Wind Farm,53.281689,-7.206523
1695,malmesbury,Malmesbury parkrun,Malmesbury,,85,1,Malmesbury,-33.456785,18.736718
1696,bethlehem,Bethlehem parkrun,Bethlehem,,85,1,Bethlehem Christian Centre and Caritas C,-28.251308,28.336215
1697,hillside,Hillside parkrun,Hillside,,85,1,Hillside Golf Course,-25.67966,28.154745
1698,hoedspruit,Hoedspruit parkrun,Hoedspruit,,85,1,Protrack training grounds,-24.314398,30.924097
1699,kathu,Kathu parkrun,Kathu,,85,1,Kathu,-27.728925,23.057004
1700,ernestullmann,Ernest Ullmann parkrun,Ernest Ullmann,,85,1,Ernest Ullman Park,-26.078938,28.073178
1701,dullstroom,Dullstroom parkrun,Dullstroom,,85,1,Dullstroom Dam & Nature Reserve,-25.405517,30.10707
1702,kayamandi,Kayamandi parkrun,Kayamandi,,85,1,Kayamandi,-33.926703,18.849041
1704,mernda,Mernda parkrun,Mernda,,3,1,Mernda Adventure Park,-37.593706,145.100493
1705,cheshunt-juniors,Cheshunt junior parkrun,Cheshunt juniors,Cheshunt junior parkrun,97,2,Cheshunt Park,51.715497,-0.04912
1706,cleland,Cleland parkrun,Cleland,,3,1,Cleland Conservation Park,-34.964185,138.698602
1707,monaghantown,Monaghan Town parkrun,Monaghan Town,,42,1,Rossmore Forest Park,54.230083,-6.99626
1708,cloverpoint,Clover Point parkrun,Clover Point,,14,1,Clover Point,48.40457,-123.350007
1709,hazyview,Hazyview parkrun,Hazyview,,85,1,Sabi River Sun,-25.035941,31.115198
1710,rouen,parkrun de Rouen,Rouen,parkrun de Rouen,31,1,Rouen,49.44128,1.072794
1711,tinleymanor,Tinley Manor parkrun,Tinley Manor,,85,1,Tinley Manor,-29.438383,31.251665
1712,fairview,Fairview parkrun,Fairview,,42,1,Fairview Wind Farm,53.363864,-6.228896
1713,greenbank,Greenbank parkrun,Greenbank,,3,1,Spring Mountain Reserve,-27.739202,152.922846
1714,corkagh,Corkagh parkrun,Corkagh,,42,1,Corkagh Park,53.315227,-6.410276
1715,palmerstonnorth,Palmerston North parkrun,Palmerston North,,65,1,Palmerston North,-40.372724,175.622671
1716,invercargill,Invercargill parkrun,Invercargill,,65,1,Queens Park,-46.404097,168.356606
1717,skatas,Skatås parkrun,Skatås,,88,1,Skatås Motionscentrum,57.703536,12.037793
1718,vicarstown-juniors,Vicarstown junior parkrun,Vicarstown juniors,Vicarstown junior parkrun,42,2,Vicarstown,53.051415,-7.084013
1719,oranmore-juniors,Oranmore junior parkrun,Oranmore juniors,Oranmore junior parkrun,42,2,Rinville Park,53.248913,-8.96191
1720,dabrowka,parkrun Dąbrówka,Dąbrówka,parkrun Dąbrówka,74,1,"Lasy Palędzko Zakrzewskie, Dąbrówka",52.385438,16.736391
1721,aldingabeach,Aldinga Beach parkrun,Aldinga Beach,,3,1,The Esplanade,-35.287768,138.444983
1722,nuriootpa,Nuriootpa parkrun,Nuriootpa,,3,1,"Coulthard Reserve, Nuriootpa",-34.466685,139.006952
1723,komani,Komani parkrun,Komani,,85,1,Queenstown Golf Club,-31.899593,26.889812
1725,swellendam,Swellendam parkrun,Swellendam,,85,1,swellendam,-34.00627,20.439211
1728,portlincoln,Port Lincoln parkrun,Port Lincoln,,3,1,Port Lincoln,-34.720803,135.860614
1729,buncrana,Buncrana parkrun,Buncrana,,42,1,"Aileach Rd, Buncrana",55.132338,-7.462667
1730,koscian,parkrun Kościan,Kościan,parkrun Kościan,74,1,"Park Miejski, Kościan",52.093343,16.638064
1731,poolbeg,Poolbeg parkrun,Poolbeg,,42,1,Sean Moore Park,53.337026,-6.210301
1733,kanata,"Kanata parkrun, Ottawa",Kanata,,14,1,The Beaver Pond Trail,45.331895,-75.919788
1734,toyen,Tøyen parkrun,Tøyen,,67,1,Tøyenparken,59.919427,10.77791
1735,glogow,parkrun Głogów,Głogów,parkrun Głogów,74,1,"Park Miejski, Głogów",51.656428,16.089986
1736,newportlakes,Newport Lakes parkrun,Newport Lakes,,3,1,Newport Lakes Reserve,-37.840109,144.870716
1737,gorzowwielkopolski,parkrun Gorzów Wielkopolski,Gorzów Wielkopolski,parkrun Gorzów Wielkopolski,74,1,"Park Kopernika, Gorzów Wielkpolski",52.743889,15.244891
1738,carisbrooke,Carisbrooke parkrun,Carisbrooke,,3,1,Carisbrooke Park,-34.754627,138.677757
1739,oakey,Oakey parkrun,Oakey,,3,1,Oakey Park,-27.429333,151.720815
1740,bannockburnbush,Bannockburn Bush parkrun,Bannockburn Bush,,3,1,Bannockburn,-38.063066,144.142907
1741,urunga,Urunga parkrun,Urunga,,3,1,Urunga Boardwalk,-30.497475,153.022849
1742,carlowtown,Carlow Town parkrun,Carlow Town,,42,1,Barrow Trail,52.838536,-6.93414
1743,darndale,Darndale parkrun,Darndale,,42,1,Darndale,53.402785,-6.18863
1744,firenze,Firenze parkrun,Firenze,,44,1,Firenze,43.782382,11.216649
1745,olimpiyskayaderevnya,parkrun Olimpiyskaya Derevnya,Olimpiyskaya Derevnya,parkrun Олимпийская деревня,79,1,Москва,55.676593,37.480643
1746,portarlington,Portarlington parkrun,Portarlington,,3,1,The Esplanade,-38.113934,144.654211
1747,rondebult,Rondebult parkrun,Rondebult,,85,1,Heidelberg,-26.315159,28.233939
1748,olsztyn,parkrun Olsztyn,Olsztyn,parkrun Olsztyn,74,1,"Park Centralny, Olsztyn",53.776228,20.481014
1749,kungsangen,Kungsängen parkrun,Kungsängen,,88,1,Gröna Dalen,59.492698,17.749575
1751,kangarooisland,Kangaroo Island parkrun,Kangaroo Island,,3,1,Kingscote,-35.655848,137.640473
1752,windsorprecinct,Windsor Precinct parkrun,Windsor Precinct,,3,1,Windsor Precinct,-41.403535,147.095454
1753,tampere,Tampere parkrun,Tampere,,30,1,Ratinanniemi,61.492554,23.759243
1754,deerpark-juniors,Deerpark junior parkrun,Deerpark juniors,Deerpark junior parkrun,42,2,Deerpark,53.293443,-6.218187
1755,railton,Railton parkrun,Railton,,3,1,Lions Park,-41.347581,146.424482
1756,porthedland,Port Hedland parkrun,Port Hedland,,3,1,Civic Centre Gardens,-20.307149,118.613332
1757,sunbury,Sunbury parkrun,Sunbury,,3,1,Apex Park,-37.584562,144.741992
1759,whitfordsnodes,Whitfords Nodes parkrun,Whitfords Nodes,,3,1,Whitfords Nodes Park,-31.817129,115.73696
1760,cloncurry,Cloncurry parkrun,Cloncurry,,3,1,Mary K Park,-20.70873,140.519814
1761,reynellaeast,Reynella East parkrun,Reynella East,,3,1,The Wetlands,-35.088747,138.558626
1762,lota,Lota parkrun,Lota,,3,1,Lota Camping Reserve,-27.468558,153.193225
1763,eastrichmond,East Richmond parkrun,East Richmond,,3,1,Ham Common Bicentenary Park,-33.604814,150.774321
1764,kimry,parkrun Kimry,Kimry,parkrun Кимры,79,1,Kimry,56.853379,37.365918
1765,castlepark,Castle Park parkrun,Castle Park,,97,1,Castle Park,51.87167,0.164165
1766,marriottwaters,Marriott Waters parkrun,Marriott Waters,,3,1,Marriott Waters Reserve,-38.072157,145.249088
1767,miles,Miles parkrun,Miles,,3,1,Moraby Park,-26.656701,150.180284
1768,houtbay,Hout Bay parkrun,Hout Bay,,85,1,Ambleside School,-34.033717,18.351737
1769,vredendal,Vredendal parkrun,Vredendal,,85,1,Parc de Lausanne,-31.664782,18.497226
1771,stgeorge,St George parkrun,St George,,3,1,St George,-28.044422,148.568244
1772,koonwarra,Koonwarra parkrun,Koonwarra,,3,1,The Great Southern Rail Trail,-38.547585,145.947772
1773,koszalin,parkrun Koszalin,Koszalin,parkrun Koszalin,74,1,"Wodna Dolina, Koszalin",54.179399,16.210552
1774,neckarau,Neckarau parkrun,Neckarau,,32,1,"Neckarau, Mannheim",49.448503,8.453797
1775,novosibirsknaberezhnaya,parkrun Novosibirsk naberezhnaya,Novosibirsk naberezhnaya,parkrun Новосибирск набережная,79,1,Novosibirsk naberezhnaya,55.011503,82.923936
1777,barrow-juniors,Barrow junior parkrun,Barrow juniors,Barrow junior parkrun,97,2,Barrow Park,54.116526,-3.218758
1778,meyerton,Meyerton parkrun,Meyerton,,85,1,Midvaal Sports and Conference Centre,-26.57717,28.022153
1779,roses,Roses parkrun,Roses,,85,1,Polokwane,-25.582817,28.285817
1780,jacobsdal,Jacobsdal parkrun,Jacobsdal,,85,1,Jacobsdal Gholf course,-29.132198,24.778901
1781,marlay-juniors,Marlay junior parkrun,Marlay juniors,Marlay junior parkrun,42,2,Marlay Park,53.275009,-6.27174
1782,oughterard,Oughterard parkrun,Oughterard,,42,1,Corribdale Park,53.428361,-9.315907
1783,northharbour,North Harbour parkrun,North Harbour,,3,1,North Harbour Heritage Park,-27.106368,152.998427
1784,holywell-juniors,Holywell junior parkrun,Holywell juniors,Holywell junior parkrun,42,2,Holywell Park,53.440006,-6.218315
1785,tolkavalley,Tolka Valley parkrun,Tolka Valley,,42,1,Tolka Valley park,53.378396,-6.297293
1786,etna,Etna parkrun,Etna,,44,1,Etna,37.621125,15.008107
1787,meltonmowbray-juniors,Melton Mowbray junior parkrun,Melton Mowbray juniors,Melton Mowbray junior parkrun,97,2,Melton Country Park,52.774327,-0.877767
1788,penticton,Penticton parkrun,Penticton,,14,1,Penticton,49.502306,-119.597222
1789,margaretriver,Margaret River parkrun,Margaret River,,3,1,Rotary Park,-33.944257,115.074331
1790,yokine,Yokine parkrun,Yokine,,3,1,Yokine Reserve,-31.911504,115.86113
1791,selby,Selby parkrun,Selby,,97,1,Selby,53.751824,-1.078398
1792,rubbenbruchsee,Rubbenbruchsee parkrun,Rubbenbruchsee,,32,1,"Rubbenbruchsee, Osnabrück",52.289292,7.989072
1793,georgengarten,Georgengarten parkrun,Georgengarten,,32,1,"Georgengarten, Hannover",52.3905,9.702945
1794,kuechenholz,Küchenholz parkrun,Küchenholz,,32,1,"Küchenholz, Leipzig",51.315327,12.337807
1795,clifton,Clifton parkrun,Clifton,,97,1,Clifton Playing Fields,52.907144,-1.163033
1796,melksham,Melksham parkrun,Melksham,,97,1,King George V Park,51.377226,-2.136235
1797,rogiet,Rogiet parkrun,Rogiet,,97,1,Rogiet Countryside Park,51.583268,-2.779965
1798,bakewell,Bakewell parkrun,Bakewell,,97,1,Hassop Station,53.230788,-1.675286
1799,sanremo,San Remo parkrun,San Remo,,3,1,Edgewater Park,-33.229509,151.530089
1801,nidda,Nidda parkrun,Nidda,,32,1,"Nidda, Frankfurt Main",50.141234,8.64006
1802,exmouth,Exmouth parkrun,Exmouth,,97,1,Exmouth,50.614697,-3.412392
1803,permbalatovo,parkrun Perm Balatovo,Perm Balatovo,parkrun Пермь Балатово,79,1,г. Пермь,57.992141,56.181052
1804,skorzec,parkrun Skórzec,Skórzec,parkrun Skórzec,74,1,"Tereny leśne, Skórzec",52.106618,22.117544
1805,megaparkkudrovo,parkrun Mega Park Kudrovo,Mega Park Kudrovo,parkrun Мега Парк Кудрово,79,1,Megapark Kudrovo,59.89622,30.514137
1806,nottinghamroad,Nottingham Road parkrun,Nottingham Road,,85,1,The Windmills Ultrastop,-29.317355,30.049367
1807,standerton,Standerton parkrun,Standerton,,85,1,River Park,-26.956032,29.250275
1808,walvisbay,Walvis Bay parkrun,Walvis Bay,,85,1,Walvis Bay,-22.977195,14.481783
1809,bezuidenhout,Bezuidenhout parkrun,Bezuidenhout,,85,1,Bezuidenhout Park,-26.180165,28.089316
1810,yzerfontein,Yzerfontein parkrun,Yzerfontein,,85,1,Windhoek Farm,-33.330713,18.261734
1811,atholl,Atholl parkrun,Atholl,,85,1,Winstone Ridge park,-26.128736,28.065948
1812,skverdzerzhinskogo,parkrun Skver Dzerzhinskogo,Skver Dzerzhinskogo,parkrun Сквер Дзержинского,79,1,"г.Омск, пл.Дзержинского",54.987941,73.373821
1813,yakutskdokhsun,parkrun Yakutsk Dokhsun,Yakutsk Dokhsun,parkrun Якутск Дохсун,79,1,r. Якутск,62.035457,129.71437
1814,brickfields,Brickfields parkrun,Brickfields,,42,1,Brickfields Park,53.331707,-6.310669
1815,samaraparkgagarina,parkrun Samara Park Gagarina,Samara Park Gagarina,parkrun Самара парк Гагарина,79,1,Park Yuriya Gagarina,53.228708,50.19619
1816,queensdomain,Queens Domain parkrun,Queens Domain,,3,1,Queens Domain,-42.863822,147.31775
1817,gardinerscreek,Gardiners Creek parkrun,Gardiners Creek,,3,1,Gardiners Creek Reserve,-37.845344,145.114787
1818,coombs,Coombs parkrun,Coombs,,3,1,Pearlman Street,-35.326215,149.047518
1819,queenstown,Queenstown parkrun,Queenstown,,65,1,Queenstown Beachfront and Gardens,-45.033598,168.661454
1820,portbroughton,Port Broughton parkrun,Port Broughton,,3,1,Port Broughton Foreshore,-33.598731,137.929613
1821,bright,Bright parkrun,Bright,,3,1,Mystic Plantation,-36.743803,146.978
1823,nhill,Nhill parkrun,Nhill,,3,1,Nhill Swamp and Wildlife Reserve,-36.338609,141.645653
1824,hasenheide,Hasenheide parkrun,Hasenheide,,32,1,"Hasenheide Park, Berlin",52.482928,13.416029
1825,greenway,GreenWay parkrun,GreenWay,,3,1,Richard Murden Reserve,-33.882504,151.14457
1826,hertford-juniors,Hertford junior parkrun,Hertford juniors,Hertford junior parkrun,97,2,Hartham Common,51.801059,-0.077451
