County	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Northamptonshire	10	6	1		17	Northampton|Kettering|Corby|Daventry|Watermeadows|Salcey Forest|Irchester Country|Brixworth Country|University of Northampton|The Plens|	Desborough Green Space juniors|Wicksteed juniors|Northampton Racecourse juniors|Spencer Park juniors|Daventry Country Park juniors|Croyland Park juniors|	Sixfields Upton|	
Northumberland	9	3			12	Prudhoe Riverside|Newbiggin-by-the-Sea|Druridge Bay|The Pastures|Tyne Green|Blyth Links|Carlisle Park|Ashington Community Woodland|Kirkharle Courtyard|	Prudhoe Riverside juniors|South Beach Estate juniors|Tyne Green juniors|		
Nottinghamshire	11	8	4	1	24	Colwick|Bestwood Village|Rushcliffe|Forest Rec|Newark|Clumber Park|Beeston|Gedling|Sherwood Pines|Wollaton Hall|Vicar Water Country Park|	Forest Rec juniors|Rushcliffe juniors|Gedling juniors|Newark juniors|Worksop College juniors|Dukeries juniors|Sutton Lawn juniors|Berry Hill juniors|	Mansfield|Brierley Forest|Clifton|Holme Pierrepont|	Hucknall juniors|
Oxfordshire	4	8	9	1	22	Oxford|Harcourt Hill|Chipping Norton School|University Parks|	Harcourt Hill juniors|Florence Park juniors|Whitelands Farm juniors|Millennium Green juniors|Wood Green juniors|Park Hill Recreation Ground juniors|Spiceball Country Park juniors|Southern Town juniors|	Banbury|Henley-on-Thames|Abingdon|Didcot|Bicester|Witney|Horspath|Grove Fields|Kilkenny Lane Country|	Kingsgrove Woodland juniors|
Rutland	1	1			2	Rutland Water|	Rutland Water juniors|		
Shropshire	5	2	1		8	Telford|Shrewsbury|Severn Valley Country|Alderford Lake|Haughmond Hill|	Shrewsbury juniors|Telford juniors|	Henley Wood, Oswestry|	
Somerset	13	10	3	1	27	Ashton Court|Bath Skyline|Shepton Mallet|Minehead|Burnham and Highbridge|Street|The Old Showfield|Clevedon Salthouse Fields|Marine Parade|Frogmary Green Farm|Five Arches|Brickfields Park|St Matthew’s Field|	Cheddar juniors|Bath Odd Down juniors|Weston-super-Mare juniors|Collett Park juniors|Yeovil Rec juniors|Yatton Recreation juniors|Clevedon Seafront juniors|Golden Valley Playing Field juniors|Portishead Esplanade juniors|Woolavington Playing Field juniors|	Longrun Meadow|Somerdale Pavilion|Sharpham Road Playing Fields|	Longrun Meadow juniors|
South Yorkshire	9	8	3		20	Endcliffe|Barnsley|Concord|Graves|Rotherham|Rother Valley|Hillsborough|Sheffield Castle|Millhouses|	Graves juniors|Barnsley juniors|Sheffield Olympic Legacy Park juniors|Sandall Park juniors|Hillsborough juniors|Rosehill Victoria juniors|Norfolk Heritage Park juniors|Millhouses juniors|	Sandall Park|Penistone|Cusworth Hall|	
Staffordshire	9	7	3		19	Cannock Chase|Hanley|The Wammy|Isabel Trail|Chasewater|Beacon|Trentham Gardens|Birchall Playing Fields|Perton Playing Fields|	Longton juniors|Burslem Park juniors|Cannock Chase Forest juniors|Clough Hall juniors|Beacon juniors|Lyme Valley Parkway juniors|Perton Playing Fields juniors|	Bramshall Road|Tamworth Castle Grounds|Battlestead Croft|	
Suffolk	11	8	7	1	27	Brandon Country Park|Kesgrave|Lowestoft|Haverhill|Felixstowe|Sizewell|Harleston Magpies|Alton Water|Rendlesham Forest|Mildenhall Hub|Christchurch Park|	Kesgrave juniors|Bury St Edmunds juniors|Ipswich juniors|Felixstowe Prom juniors|Stowmarket Recreation Ground juniors|Castle Playing Fields juniors|Mildenhall Hub juniors|Ravenswood Primary School juniors|	Bury St Edmunds|Clare Castle|Great Cornard|Thomas Mills|Chilton Fields|Thornham Walks|Beccles Quay|	Great Cornard juniors|
Surrey	7	9	6		22	Banstead Woods|Reigate Priory|Woking|Cranleigh|Mole Valley|Hazelwood|Brooklands|	Laleham juniors|Woking juniors|Reigate Priory juniors|Savill Garden juniors|Guildford juniors|Nonsuch juniors|Cranleigh juniors|Leatherhead juniors|St John’s Primary School juniors|	Frimley Lodge|Guildford|Nonsuch|Homewood|Broadwater|Egham Orbit|	
Tyne and Wear	12	6	2		20	Silksworth|Whitley Bay|Gateshead|Windy Nook|South Shields|Herrington Country|Leazes|Jesmond Dene|Chopwell Wood|Denton Dene|Fulwell Quarry|Elemore Park|	Whitley Bay juniors|Town Moor juniors|Saltwell juniors|North Marine juniors|Mowbray Park juniors|Hetton Lyons Country Park juniors|	Town Moor|Rising Sun|	
Warwickshire	3	4	3		10	Leamington|Rugby|Bedworth|	GEC Rec juniors|Stratford-upon-Avon Rec juniors|St Nicholas juniors|Riversley Park juniors|	Kingsbury Water|Stratford-upon-Avon|Warwick Racecourse|	
West Midlands	15	9	1		25	Coventry|Dudley|Brueton|Cannon Hill|Wolverhampton|Walsall Arboretum|Sandwell Valley|Sutton Park|Babbs Mill|Oaklands|East Park|Edgbaston Reservoir|Woodgate Valley Country Park|Holbrooks|Brunswick Park|	Bloxwich juniors|Wednesfield juniors|Cannon Hill juniors|Stevens Park juniors|War Memorial Park juniors|Malvern Park juniors|Ward End juniors|Edgbaston Reservoir juniors|Sutton Park juniors|	Perry Hall|	
West Sussex	9	5	2	2	18	Horsham|Tilgate|Clair|Bognor Regis|Worthing|Lancing Beach Green|Littlehampton Prom|Ifield Mill Pond|Wakehurst|	Bognor Regis juniors|Horsham juniors|Tilgate juniors|Worthing Leisure Centre juniors|Mewsbrook juniors|	East Grinstead|Chichester|	Chichester juniors|Haywards Heath juniors|
West Yorkshire	21	18	6		45	Woodhouse Moor|Halifax|Lister Park, Bradford|Pontefract|Huddersfield|Roundhay|Dewsbury|Temple Newsam|Cross Flatts|Oakwell Hall|Nostell|Horton Park|Middleton Woods|Armley|Cliffe Castle|Myrtle|Potternewton|Frickley Country|Centre Vale|Bowling Park|Chevin Forest|	Cross Flatts juniors|Bramley juniors|Roundhay juniors|Huddersfield juniors|Temple Newsam juniors|Dewsbury juniors|Saltaire juniors|Tolson juniors|Bodington juniors|Wakefield Thornes juniors|Pontefract juniors|Beaumont Park juniors|Riverside Gardens juniors|Horsforth Hall juniors|Wilton Park juniors|People’s Park juniors, Halifax|Harold Park juniors|Bowling Park juniors|	Wakefield Thornes|Rothwell|Wetherby|Bramley|Roberts Park|East Holmes Field|	
