Event	Latitude	Longitude	Country	Status	DateCancelled	ReasonCancelled	Website
Banstead Woods parkrun	51.307648	-0.184225	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/banstead
Barberton parkrun	-25.76011	31.049736	South Africa	parkrunning			https://www.parkrun.co.za/barberton
Barclay parkrun	51.759056	-0.019442	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barclay
Bargara parkrun	-24.806914	152.456905	Australia	parkrunning			https://www.parkrun.com.au/bargara
Baringa parkrun	-26.806829	153.080945	Australia	parkrunning			https://www.parkrun.com.au/baringa
Barking and Dagenham junior parkrun	51.544937	0.125871	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/barkinganddagenham-juniors
Barking parkrun	51.545894	0.087312	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barking
Barnsley junior parkrun	53.54438	-1.48617	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barnsley-juniors
Barnsley parkrun	53.544369	-1.486115	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barnsley
Barnstaple junior parkrun	51.071801	-4.053904	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/barnstaple-juniors
Barnstaple parkrun	51.072561	-4.053612	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barnstaple
Barrow junior parkrun	54.116526	-3.218758	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/barrow-juniors
Barrow parkrun	54.117706	-3.218855	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barrow
Barry Curtis parkrun	-36.9597	174.914382	New Zealand	parkrunning			https://www.parkrun.co.nz/barrycurtis
Barry Island parkrun	51.390202	-3.271371	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barryisland
Barry junior parkrun	51.393485	-3.291377	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barry-juniors
Barshaw junior parkrun	55.84851	-4.394725	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barshaw-juniors
Basildon parkrun	51.577778	0.499615	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/basildon
Basingstoke junior parkrun	51.252197	-1.128675	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/basingstoke-juniors
Basingstoke parkrun	51.258831	-1.082035	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/basingstoke
Batemans Bay parkrun	-35.712112	150.185995	Australia	parkrunning			https://www.parkrun.com.au/batemansbay
Bath Odd Down junior parkrun	51.363164	-2.376181	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/bathodddown-juniors
Bath Skyline parkrun	51.364717	-2.338425	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bathskyline
Bathurst parkrun	-33.414176	149.586917	Australia	parkrunning			https://www.parkrun.com.au/bathurst
Battery Park junior parkrun	55.961198	-4.800003	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/batterypark-juniors
Beach Strip parkrun	43.259467	-79.76563	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/beachstrip
Beacon parkrun	52.685891	-1.83863	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/beacon
Bear Creek Greenbelt parkrun	32.927592	-97.230411	USA	parkrunning			https://www.parkrun.us/bearcreekgreenbelt
Beaumont Park junior parkrun	53.622934	-1.811237	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/beaumontpark-juniors
Beckenham Place parkrun	51.41853	-0.01959	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/beckenhamplace
Beckton parkrun	51.51176	0.046542	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/beckton
Bedfont Lakes parkrun	51.440762	-0.451523	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bedfont
Bedford junior parkrun	52.124298	-0.449781	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bedford-juniors
Bedford parkrun	52.148125	-0.459366	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bedford
Bedgebury Pinetum parkrun	51.071871	0.450168	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bedgeburypinetum
Bedok Reservoir parkrun	1.341364	103.920167	Singapore	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.sg/bedokreservoir
Bedworth parkrun	52.476054	-1.47027	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bedworth
Beechpark junior parkrun	53.381645	-6.424837	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/beechpark-juniors
Beehive junior parkrun	51.788927	-0.189677	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/beehive-juniors
Beeston parkrun	52.913592	-1.201737	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/beeston
Bega parkrun	-36.668409	149.852269	Australia	parkrunning			https://www.parkrun.com.au/bega
Belfast Victoria junior parkrun	54.609998	-5.870456	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/belfastvictoria-juniors
Belfast Victoria parkrun	54.608785	-5.881573	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/belfastvictoria
Bellerive parkrun	-42.878181	147.37175	Australia	parkrunning			https://www.parkrun.com.au/bellerive
Bellevue Park junior parkrun	-27.994529	153.396886	Australia	junior parkrunning			https://www.parkrun.com.au/bellevuepark-juniors
Bellevue parkrun	46.500362	-84.298049	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/bellevue
Belloluogo parkrun	40.360409	18.161486	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/belloluogo
Bells Inn parkrun	-26.325796	28.034152	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bellsinn
Bellville parkrun	-33.890643	18.629274	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bellville
Belton House parkrun	52.942743	-0.620021	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/beltonhouse
Benalla Botanical Gardens parkrun	-36.553856	145.977439	Australia	5k Cancellation	2021-06-12	Victorian Lockdown laws eff 11 June 2021	https://www.parkrun.com.au/benallabotanicalgardens
Bendigo Botanic Gardens parkrun	-36.725618	144.305636	Australia	5k Cancellation	2021-06-12	COVID restrictions	https://www.parkrun.com.au/bendigobotanicgardens
Bere Island parkrun	51.632369	-9.81755	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/bereisland
Berkeley Green parkrun	51.690962	-2.497513	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/berkeleygreen
Berrinba parkrun	-27.665606	153.077193	Australia	parkrunning			https://www.parkrun.com.au/berrinba
Berwick Springs parkrun	-38.062069	145.322932	Australia	5k Cancellation	2021-06-12	Victoria 7 Day Circuit Breaker Lockdown	https://www.parkrun.com.au/berwicksprings
