Event	Latitude	Longitude	Country	Status	DateCancelled	ReasonCancelled	Website
McAllister parkrun	40.442588	-86.888311	USA	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.us/mcallister
Meadowbrook parkrun	-27.673493	153.155785	Australia	parkrunning			https://www.parkrun.com.au/meadowbrook
Meadowmill parkrun	55.954249	-2.966242	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/meadowmill
Meadowvale parkrun	43.585052	-79.755213	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/meadowvale
Medina I.O.W junior parkrun	50.707098	-1.288812	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/medina-juniors
Medina I.O.W. parkrun	50.711823	-1.286999	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/medina
Medway junior parkrun	51.394926	0.564496	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/medway-juniors
Meijo koen parkrun	35.18735	136.903707	Japan	5k Cancellation	2021-06-12	緊急事態宣言発令	https://www.parkrun.jp/meijokoen
Melkbosstrand parkrun	-33.72855	18.438259	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/melkbosstrand
Melksham parkrun	51.377226	-2.136235	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/melksham
Melton Mowbray junior parkrun	52.774327	-0.877767	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/meltonmowbray-juniors
Melton Mowbray parkrun	52.780002	-0.879068	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/meltonmowbray
Menai parkrun	-34.016364	151.015082	Australia	parkrunning			https://www.parkrun.com.au/menai
Mendel Riverbank parkrun	52.134511	-106.648378	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/mendelriverbank
Meningie parkrun	-35.68627	139.338438	Australia	parkrunning			https://www.parkrun.com.au/meningie
Mensola parkrun	43.77528	11.308243	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/mensola
Merimbula parkrun	-36.895978	149.910936	Australia	parkrunning			https://www.parkrun.com.au/merimbula
Mernda parkrun	-37.593706	145.100493	Australia	5k Cancellation	2021-06-12	COVID restrictions	https://www.parkrun.com.au/mernda
Merriwa parkrun	-32.139152	150.349493	Australia	parkrunning			https://www.parkrun.com.au/merriwa
Mersea Island parkrun	51.79164	0.99368	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/merseaisland
Merthyr parkrun	51.73896	-3.375658	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/merthyr
Meyers Farm parkrun	-26.267929	28.094768	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/meyersfarm
Meyerton parkrun	-26.57717	28.022153	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/meyerton
Middelburg parkrun	-25.732228	29.510178	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/middelburg
Middleton Woods parkrun	53.751892	-1.557233	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/middletonwoods
Midstream parkrun	-25.919924	28.205604	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/midstream
Milano Nord parkrun	45.53007	9.211192	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/milanonord
Mildura Weir parkrun	-34.175887	142.162215	Australia	5k Cancellation	2021-06-12	Covid Restrictions	https://www.parkrun.com.au/milduraweir
Mile End junior parkrun	51.518602	-0.034735	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/mileend-juniors
Mile End parkrun	51.518169	-0.033946	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/mileend
Miles parkrun	-26.656701	150.180284	Australia	parkrunning			https://www.parkrun.com.au/miles
Milford Waterfront parkrun	51.710763	-5.031507	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/milfordwaterfront
Millennium Country parkrun, Forest of Marston Vale	52.065265	-0.534082	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/millenniumcountry
Millennium Green junior parkrun	51.681029	-1.408248	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/millenniumgreen-juniors
Millfield parkrun	54.125154	-1.190864	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/millfield
Millhouses parkrun	53.338516	-1.505027	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/millhouses
Millom parkrun	54.21399	-3.26996	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/millom
Millwater parkrun	-36.602838	174.679409	New Zealand	parkrunning			https://www.parkrun.co.nz/millwater
Milnrow Memorial Park junior parkrun	53.604202	-2.10291	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/milnrowmemorialpark-juniors
Milton Keynes junior parkrun	52.002181	-0.782082	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/miltonkeynes-juniors
Milton Keynes parkrun	52.05011	-0.722984	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/miltonkeynes
Minehead parkrun	51.207524	-3.469591	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/minehead
Minnippi parkrun	-27.49331	153.118679	Australia	parkrunning			https://www.parkrun.com.au/minnippi
Mitchells Plain parkrun	-34.043918	18.597581	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mitchellsplain
Mitchelton parkrun	-27.404423	152.979298	Australia	parkrunning			https://www.parkrun.com.au/mitchelton
Moana parkrun	-35.197847	138.470913	Australia	parkrunning			https://www.parkrun.com.au/moana
Modderfontein Reserve parkrun	-26.068971	28.138043	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/modderfonteinreserve
Modimolle parkrun	-24.694698	28.385259	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/modimolle
Mofolo parkrun	-26.243398	27.888986	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mofolo
Mogol parkrun	-23.686683	27.693497	South Africa	parkrunning			https://www.parkrun.co.za/mogol
Moira junior parkrun	54.483275	-6.228082	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/moira-juniors
Mole Valley parkrun	51.248259	-0.330645	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/molevalley
Momoi harappa koen parkrun	35.713523	139.607963	Japan	parkrunning			https://www.parkrun.jp/momoiharappakoen
Monaghan Town parkrun	54.230083	-6.99626	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/monaghantown
Monrepos parkrun	48.918396	9.172071	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/monrepos
Montelepre parkrun	38.088318	13.17349	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/montelepre
Montrose Foreshore parkrun	-42.8227	147.269908	Australia	parkrunning			https://www.parkrun.com.au/montroseforeshore
Montrose parkrun	56.726297	-2.455223	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/montrose
Moora parkrun	-30.638892	116.004276	Australia	parkrunning			https://www.parkrun.com.au/moora
Moormead junior parkrun	51.451595	-0.326684	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/moormead-juniors
Moors Valley junior parkrun	50.851371	-1.849369	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/moorsvalley-juniors
Moors Valley parkrun	50.85124	-1.849419	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/moorsvalley
Morecambe Prom parkrun	54.065082	-2.885102	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/morecambeprom
Moree parkrun	-29.46707	149.843183	Australia	parkrunning			https://www.parkrun.com.au/moree
Mosman parkrun	-33.806252	151.245989	Australia	parkrunning			https://www.parkrun.com.au/mosman
Mount Ainslie parkrun	-35.278828	149.152038	Australia	parkrunning			https://www.parkrun.com.au/mountainslie
Mount Barker parkrun	-35.069655	138.867869	Australia	parkrunning			https://www.parkrun.com.au/mountbarker
Mount Beauty parkrun	-36.736278	147.174015	Australia	5k Cancellation	2021-06-12	Covid state lockdown	https://www.parkrun.com.au/mountbeauty
Mount Edgcumbe parkrun	50.357664	-4.175493	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/mountedgcumbe
Mount Gambier parkrun	-37.84289	140.777854	Australia	parkrunning			https://www.parkrun.com.au/mountgambier
Mount Helena parkrun	-31.879999	116.208462	Australia	parkrunning			https://www.parkrun.com.au/mounthelena
Mount Isa parkrun	-20.702319	139.492772	Australia	parkrunning			https://www.parkrun.com.au/mountisa
Mount Stuart parkrun	55.792888	-5.019453	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/mountstuart
Mountain Drive parkrun, Graaff-Reinet	-32.244765	24.524985	South Africa	parkrunning			https://www.parkrun.co.za/mountaindrive
Mountain Goat Trail parkrun	35.218941	-85.881441	USA	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.us/mountaingoattrail
Mountlucas parkrun	53.281689	-7.206523	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/mountlucas
Moussette parkrun	45.407485	-75.771231	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/moussette
Mt Clarence parkrun	-35.025659	117.916528	Australia	parkrunning			https://www.parkrun.com.au/mtclarence
Mt Penang parkrun	-33.426328	151.293178	Australia	parkrunning			https://www.parkrun.com.au/mtpenang
Mthatha parkrun	-31.58678	28.776247	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mthatha
Mudgee parkrun	-32.589229	149.586719	Australia	parkrunning			https://www.parkrun.com.au/mudgee
Mudgeeraba parkrun	-28.086682	153.364098	Australia	parkrunning			https://www.parkrun.com.au/mudgeeraba
Mudjimba Beach parkrun	-26.615149	153.100818	Australia	parkrunning			https://www.parkrun.com.au/mudjimbabeach
Mullingar parkrun	53.517513	-7.368025	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/mullingar
Mullum Mullum parkrun	-37.811673	145.21251	Australia	5k Cancellation	2021-06-12	Melbourne lockdown	https://www.parkrun.com.au/mullummullum
Mundy Regional parkrun	-31.96618	116.035959	Australia	parkrunning			https://www.parkrun.com.au/mundyregional
Mundy parkrun	49.261576	-122.834541	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/mundy
Mungret parkrun	52.632016	-8.681348	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/mungret
Mura di Lucca parkrun	43.839078	10.500336	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/muradilucca
Murray Bridge parkrun	-35.121567	139.285558	Australia	parkrunning			https://www.parkrun.com.au/murraybridge
Musgrave junior parkrun	54.570204	-5.974033	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/musgrave-juniors
Myrtle parkrun	53.846344	-1.838295	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/myrtle
Máxima parkrun	52.095526	5.025433	Netherlands	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/maxima
Naas parkrun	53.220327	-6.644948	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/naas
Nagaragawa koen parkrun	35.440942	136.771641	Japan	5k Cancellation	2021-06-12	緊急事態宣言中のため	https://www.parkrun.jp/nagaragawakoen
Nahoon Point parkrun	-32.988135	27.949644	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/nahoonpoint
Nambour parkrun	-26.594251	152.973543	Australia	parkrunning			https://www.parkrun.com.au/nambour
Nansenparken parkrun	59.89577	10.614464	Norway	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.no/nansenparken
Nant y Pandy parkrun	53.257642	-4.313233	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/nantypandy
Naracoorte Lake parkrun	-36.949411	140.741843	Australia	parkrunning			https://www.parkrun.com.au/naracoortelake
Narin Beach parkrun	54.839814	-8.448642	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/narinbeach
Narrabri parkrun	-30.33885	149.755908	Australia	parkrunning			https://www.parkrun.com.au/narrabri
Narromine Wetlands parkrun	-32.246949	148.236598	Australia	parkrunning			https://www.parkrun.com.au/narrominewetlands
Nautical parkrun	43.386443	-79.728065	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/nautical
Navan parkrun	53.661214	-6.693934	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/navan
Neckarau parkrun	49.448503	8.453797	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/neckarau
Neckarufer parkrun, Esslingen	48.728248	9.324445	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/neckaruferesslingen
Nepean River parkrun	-33.760087	150.679885	Australia	parkrunning			https://www.parkrun.com.au/nepeanriver
Netley Abbey junior parkrun	50.8683	-1.345392	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/netleyabbey-juniors
Netley Abbey parkrun	50.865345	-1.334453	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/netleyabbey
New Earswick parkrun	53.99025	-1.077677	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newearswick
New Farm parkrun	-27.471134	153.051636	Australia	parkrunning			https://www.parkrun.com.au/newfarm
New Milton junior parkrun	50.747045	-1.669084	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/newmilton-juniors
New Ross parkrun	52.316359	-6.928439	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/newross
New York Central Fitness Trail parkrun	45.262918	-75.361261	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/newyorkcentralfitnesstrail
Newark junior parkrun	53.070181	-0.819014	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/newark-juniors
Newark parkrun	53.070031	-0.81905	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newark
Newbiggin-by-the-Sea parkrun	55.185215	-1.505386	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newbigginbythesea
Newborough Forest parkrun	53.144163	-4.386757	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newboroughforest
Newborough parkrun	-38.178663	146.270714	Australia	5k Cancellation	2021-06-12	COVID 19 Restrictions	https://www.parkrun.com.au/newborough
Newbury parkrun	51.378426	-1.292267	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newbury
Newcastle West parkrun	52.450747	-9.06854	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/newcastlewest
Newcastle parkrun	54.983803	-1.617994	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newcastle
Newent parkrun, Forest of Dean	51.926515	-2.410056	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newent
Newport Lakes parkrun	-37.840109	144.870716	Australia	5k Cancellation	2021-06-12	Victoria C-19 lockdown continues :(	https://www.parkrun.com.au/newportlakes
Newport junior parkrun	51.562767	-3.028793	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newport-juniors
Newport parkrun	51.559479	-3.030939	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newport
Newtown parkrun	52.514658	-3.319012	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newtown
Newy parkrun	-32.914566	151.76144	Australia	parkrunning			https://www.parkrun.com.au/newy
Nhill parkrun	-36.338609	141.645653	Australia	parkrunning			https://www.parkrun.com.au/nhill
Nibe parkrun	56.987144	9.654837	Denmark	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.dk/nibe
Nidda parkrun	50.141234	8.64006	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/nidda
Nightcliff parkrun	-12.376205	130.857655	Australia	parkrunning			https://www.parkrun.com.au/nightcliff
Nkomazi parkrun	-25.703683	31.788579	South Africa	parkrunning			https://www.parkrun.co.za/nkomazi
Nobles parkrun	54.165828	-4.481846	United Kingdom	parkrunning			https://www.parkrun.org.uk/nobles
Nonsuch junior parkrun	51.357366	-0.230945	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/nonsuch-juniors
Nonsuch parkrun	51.356926	-0.231078	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/nonsuch
Noosa parkrun	-26.40872	153.030388	Australia	parkrunning			https://www.parkrun.com.au/noosa
Nordre Fælled parkrun, Randers	56.48583	10.031231	Denmark	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.dk/nordrefaelled
Normanby Hall parkrun	53.638407	-0.659924	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/normanbyhall
Norre Katts parkrun	56.677824	12.85961	Sweden	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.se/norrekatts
North Bay parkrun	46.298808	-79.455704	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/northbay
North Beach parkrun	-29.83607	31.036634	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/northbeach
North Harbour parkrun	-27.106368	152.998427	Australia	parkrunning			https://www.parkrun.com.au/northharbour
North Lakes parkrun	-27.23669	153.020729	Australia	parkrunning			https://www.parkrun.com.au/northlakes
North Shore parkrun	-19.252326	146.70074	Australia	parkrunning			https://www.parkrun.com.au/northshore
North Sydney parkrun	-33.830396	151.211772	Australia	parkrunning			https://www.parkrun.com.au/northsydney
North Wollongong parkrun	-34.413116	150.901723	Australia	parkrunning			https://www.parkrun.com.au/northwollongong
Northala Fields junior parkrun	51.540587	-0.376008	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/northalafields-juniors
Northala Fields parkrun	51.541272	-0.376711	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/northalafields
Northallerton junior parkrun	54.34923	-1.433966	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/northallerton-juniors
Northallerton parkrun	54.348466	-1.435519	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/northallerton
Northampton Racecourse junior parkrun	52.247243	-0.886303	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/northamptonracecourse-juniors
Northampton parkrun	52.248143	-0.884445	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/northampton
Northlands junior parkrun	51.57779	0.498314	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/northlands-juniors
Northparkes Oval parkrun	-33.126723	148.18147	Australia	parkrunning			https://www.parkrun.com.au/northparkesoval
Northside Beltline parkrun	33.813416	-84.406514	USA	parkrunning			https://www.parkrun.us/northsidebeltline
Northwich junior parkrun	53.282841	-2.520506	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/northwich-juniors
Northwich parkrun	53.265511	-2.510876	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/northwich
Norwich parkrun	52.620422	1.255682	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/norwich
Nose Hill parkrun	51.12534	-114.129961	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/nosehill
Nostell parkrun	53.650212	-1.381241	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/nostell
Nottingham Road parkrun	-29.317355	30.049367	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/nottinghamroad
Nova Prestatyn parkrun	53.342126	-3.414183	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/novaprestatyn
Nulkaba parkrun	-32.794952	151.352856	Australia	parkrunning			https://www.parkrun.com.au/nulkaba
Nuriootpa parkrun	-34.466685	139.006952	Australia	parkrunning			https://www.parkrun.com.au/nuriootpa
Oak Grove parkrun	36.68209	-87.444258	USA	parkrunning			https://www.parkrun.us/oakgrove
Oak Hill parkrun	51.637718	-0.153744	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/oakhill
Oakey parkrun	-27.429333	151.720815	Australia	parkrunning			https://www.parkrun.com.au/oakey
Oaklands parkrun	52.466391	-1.818013	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/oaklands
Oakwell Hall parkrun	53.739437	-1.671596	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/oakwellhall
Oberwald parkrun	48.984061	8.407876	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/oberwald
Ocean Grove parkrun	-38.267313	144.512783	Australia	5k Cancellation	2021-06-12	Victorian COVID restrictions	https://www.parkrun.com.au/oceangrove
Ocean View parkrun	-27.121296	152.802517	Australia	parkrunning			https://www.parkrun.com.au/oceanview
Ockwells junior parkrun	51.50267	-0.73546	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/ockwells-juniors
Odakaryokuchi parkrun	35.064482	136.957196	Japan	parkrunning			https://www.parkrun.jp/odakaryokuchi
Offenthal parkrun	49.987123	8.753985	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/offenthal
Ohio and Erie Canal Reservation parkrun	41.431816	-81.662319	USA	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.us/ohioanderiecanalreservation
Oiso undokoen parkrun	35.312527	139.291032	Japan	parkrunning			https://www.parkrun.jp/oisoundokoen
Okanagan parkrun	49.883293	-119.456654	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/okanagan
Old Deer Park parkrun	51.464417	-0.306973	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/olddeerpark
Old Thomson River Road parkrun	-23.436746	144.243624	Australia	parkrunning			https://www.parkrun.com.au/oldthomsonriverroad
Oldbridge parkrun	53.723043	-6.418183	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/oldbridge
Oldham parkrun	53.534187	-2.104118	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/oldham
Omagh parkrun	54.602837	-7.296222	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/omagh
Omeya parkrun	-22.851906	17.112201	Namibia	5k Cancellation	2021-06-12	Covid-19 Regulations	https://www.parkrun.co.za/omeya
Orange parkrun	-33.325825	149.089749	Australia	parkrunning			https://www.parkrun.com.au/orange
Orangefield parkrun	54.588509	-5.884361	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/orangefield
Oranmore junior parkrun	53.248913	-8.96191	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/oranmore-juniors
Oranmore parkrun	53.246377	-8.959767	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/oranmore
Oriam parkrun	55.909754	-3.31715	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/oriam
Orleans parkrun	45.482673	-75.542182	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/orleans
Ormeau junior parkrun	54.588264	-5.914541	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ormeau-juniors
Ormeau parkrun	54.588374	-5.914786	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ormeau
Ormskirk parkrun	53.559245	-2.868097	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ormskirk
Orpington parkrun	51.365283	0.117224	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/orpington
Osterley junior parkrun	51.489405	-0.350722	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/osterley-juniors
Osterley parkrun	51.489403	-0.349889	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/osterley
Oudtshoorn parkrun	-33.534495	22.234316	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/oudtshoorn
Oughterard parkrun	53.428361	-9.315907	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/oughterard
Our Park parkrun	-42.559297	147.876873	Australia	parkrunning			https://www.parkrun.com.au/ourpark
Outeniquasbosch parkrun	-34.099737	22.098418	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/outeniquasbosch
Outlook and District Regional parkrun	51.489326	-107.069151	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/outlookanddistrictregional
Ovens River Trail parkrun	-36.555094	146.711688	Australia	5k Cancellation	2021-06-12	Covid restrictions limit = 20 in outdoor gathering	https://www.parkrun.com.au/ovensrivertrail
Owairaka parkrun	-36.896454	174.722758	New Zealand	parkrunning			https://www.parkrun.co.nz/owairaka
Oxford parkrun	51.790901	-1.262419	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/oxford
Oyodogawa shiminryokuchi parkrun	31.908209	131.417682	Japan	parkrunning			https://www.parkrun.jp/oyodogawashiminryokuchi
