County	Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	Events
Mid Ulster	Northern Ireland	2	1			3	['MUSA Cookstown parkrun', 'Magherafelt junior parkrun', 'Dungannon Park parkrun']
Mid and East Antrim	Northern Ireland	3	1			4	['Ecos parkrun, Ballymena', 'Larne parkrun', 'Carrickfergus parkrun', 'Larne junior parkrun']
Midlothian	Scotland			1		1	['Vogrie parkrun']
Moray	Scotland			1		1	['Elgin parkrun']
Newry Mourne and Down	Northern Ireland	2				2	['Rostrevor parkrun', 'Castlewellan parkrun']
Norfolk	England	16	4		1	21	"['Gorleston Cliffs parkrun', 'Norwich parkrun', ""King's Lynn parkrun"", 'Colney Lane parkrun', 'Sheringham parkrun', 'Thetford parkrun', 'Catton parkrun', 'Blickling parkrun', 'Eaton junior parkrun', 'Brundall parkrun', 'Holkham parkrun', 'Gorleston junior parkrun', ""King's Lynn junior parkrun"", 'Swaffham parkrun', 'Loch Neaton parkrun, Watton', 'Lingwood parkrun', 'Sloughbottom parkrun', 'Lea Bridges junior parkrun', 'Hunstanton Promenade parkrun', 'Breckland Leisure Centre junior parkrun', 'Great Yarmouth North Beach parkrun']"
North Ayrshire	Scotland		1	1		2	['Eglinton parkrun', 'Jacks Road junior parkrun']
North Lanarkshire	Scotland		1	2		3	['Strathclyde parkrun', 'Drumpellier Country parkrun', 'Drumpellier junior parkrun']
North Yorkshire	England	14	6	4	1	25	['Albert parkrun, Middlesbrough', 'Hemlington Lake junior parkrun', 'Redcar parkrun', 'Stewart parkrun, Middlesbrough', 'Flatts Lane parkrun', 'Redcar junior parkrun', 'Marshall Drive parkrun, Brotton', 'York parkrun', 'Catterick parkrun', 'Harrogate parkrun', 'Skipton parkrun', 'Fountains Abbey parkrun', 'Northallerton parkrun', 'Heslington parkrun', 'Harrogate junior parkrun', 'Dalby Forest parkrun', 'Knavesmire junior parkrun', 'Selby parkrun', 'New Earswick parkrun', 'Northallerton junior parkrun', 'Conyngham Hall parkrun', 'Millfield parkrun', 'Castle Howard parkrun', 'Brayton Academy junior parkrun', 'The Station junior parkrun']
Northamptonshire	England	9	5			14	['Northampton parkrun', 'Kettering parkrun', 'Corby parkrun', 'Daventry parkrun', 'Daventry junior parkrun', 'Sixfields Upton parkrun', 'Watermeadows parkrun', 'Desborough Green Space junior parkrun', 'Salcey Forest parkrun', 'Irchester Country parkrun', 'Wicksteed junior parkrun', 'Brixworth Country parkrun', 'Northampton Racecourse junior parkrun', 'Spencer Park junior parkrun']
Northumberland	England	6			1	7	['Prudhoe Riverside parkrun', 'Prudhoe Riverside junior parkrun', 'Newbiggin-by-the-Sea parkrun', 'Druridge Bay parkrun', 'The Pastures parkrun', 'Tyne Green parkrun', 'Blyth Links parkrun']
Nottinghamshire	England	11	7	2	1	21	['Colwick parkrun', 'Bestwood Village parkrun', 'Mansfield parkrun', 'Brierley Forest parkrun', 'Forest Rec junior parkrun', 'Rushcliffe parkrun', 'Forest Rec parkrun', 'Newark parkrun', 'Clumber Park parkrun', 'Rushcliffe junior parkrun', 'Beeston parkrun', 'Gedling parkrun', 'Sherwood Pines parkrun', 'Hucknall junior parkrun', 'Gedling junior parkrun', 'Clifton parkrun', 'Newark junior parkrun', 'Worksop College junior parkrun', 'Dukeries junior parkrun', 'Wollaton Hall parkrun', 'Sutton Lawn junior parkrun']
Orkney Islands	Scotland	1				1	['Kirkwall parkrun']
Oxfordshire	England	8	4	1		13	['Banbury parkrun', 'Oxford parkrun', 'Harcourt Hill junior parkrun', 'Henley-on-Thames parkrun', 'Abingdon parkrun', 'Didcot parkrun', 'Harcourt Hill parkrun', 'Bicester parkrun', 'Witney parkrun', 'Chipping Norton School parkrun', 'Florence Park junior parkrun', 'Whitelands Farm junior parkrun', 'Millennium Green junior parkrun']
Perth and Kinross	Scotland		2	3	1	6	['Perth parkrun', 'Loch Leven junior parkrun', 'Perth junior parkrun', 'Loch Leven parkrun', 'MacRosty junior parkrun', 'Faskally Forest parkrun']
Powys	Wales			2		2	['Newtown parkrun', 'Groe parkrun']
Renfrewshire	Scotland			1	1	2	['Linwood parkrun', 'Barshaw junior parkrun']
Rutland	England	1	1			2	['Rutland Water parkrun', 'Rutland Water junior parkrun']
Scottish Borders	Scotland			2		2	['Hay Lodge parkrun', 'Wallaceneuk parkrun']
Shetland Islands	Scotland	1				1	['Bressay parkrun']
Shropshire	England	4	1	1	1	7	['Shrewsbury junior parkrun', 'Telford parkrun', 'Shrewsbury parkrun', 'Telford junior parkrun', 'Henley Wood parkrun, Oswestry', 'Severn Valley Country parkrun', 'Alderford Lake parkrun']
Somerset	England	11	7	1		19	['Ashton Court parkrun', 'Cheddar junior parkrun', 'Bath Skyline parkrun', 'Bath Odd Down junior parkrun', 'Shepton Mallet parkrun', 'Minehead parkrun', 'Yeovil Montacute parkrun', 'Longrun Meadow parkrun', 'Longrun Meadow junior parkrun', 'Burnham and Highbridge parkrun', 'Weston-super-Mare junior parkrun', 'Street parkrun', 'Henstridge Airfield parkrun', 'Somerdale Pavilion parkrun', 'Collett Park junior parkrun', 'Yeovil Rec junior parkrun', 'The Old Showfield parkrun', 'Clevedon Salthouse Fields parkrun', 'Yatton Recreation junior parkrun']
South Ayrshire	Scotland		1	3		4	['Troon parkrun', 'Ayr parkrun', 'Prestwick Oval junior parkrun', 'Girvan Prom parkrun']
