Event	Country	Previous Cancellation Note	Website
Helix junior parkrun	United Kingdom	Pedal for Falkirk taking place, paths unusable	https://www.parkrun.org.uk/helix-juniors
Highlands parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/highlands
Hobsonville Point parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/hobsonvillepoint
Hopkins parkrun	Australia	Due to current COVID-19 restrictions
Horseshoe Bay Reserve parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/horseshoebayreserve
Howard Temin Lakeshore Path parkrun	United States	COVID	https://www.parkrun.us/howardteminlakeshorepath
Huskisson parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/huskisson
Invercargill parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/invercargill
Inverell parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/inverell
Inverloch parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/inverloch
Jells parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/jells
Jindabyne parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/jindabyne
Jock Trail parkrun	South Africa	due to rain and resulting route saftey concerns	https://www.parkrun.co.za/jocktrail
KM Reedy Reserve parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/kmreedyreserve
Kamay parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/kamay
Kapiti Coast parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/kapiticoast
Karkarook parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/karkarook
Kathu parkrun	South Africa	Kathu Equestrain Club have Competitions on	https://www.parkrun.co.za/kathu
Kennington Reservoir parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/kenningtonreservoir
Kerang Regional parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/kerangregional
